time,voltage
205562.0,0.275
205591.0,0.266
205601.0,0.273
205631.0,0.279
205641.0,0.273
205671.0,0.269
205682.0,0.278
205711.0,0.27
205722.0,0.27
205751.0,0.271
205762.0,0.275
205791.0,0.268
205802.0,0.281
205831.0,0.279
205841.0,0.273
205871.0,0.273
205882.0,0.279
205911.0,0.27
205921.0,0.27
205951.0,0.273
205962.0,0.274
205991.0,0.265
206002.0,0.276
206031.0,0.277
206042.0,0.271
206071.0,0.268
206082.0,0.273
206111.0,0.269
206122.0,0.275
206151.0,0.275
206162.0,0.27
206191.0,0.266
206202.0,0.275
206231.0,0.271
206242.0,0.269
206272.0,0.265
206282.0,0.273
206311.0,0.268
206322.0,0.269
206351.0,0.268
206362.0,0.275
206391.0,0.262
206401.0,0.275
206431.0,0.272
206442.0,0.265
206471.0,0.262
206482.0,0.271
206511.0,0.267
206522.0,0.271
206551.0,0.268
206561.0,0.269
206591.0,0.269
206602.0,0.273
206631.0,0.275
206642.0,0.27
206671.0,0.267
206681.0,0.278
206711.0,0.27
206722.0,0.27
206751.0,0.274
206762.0,0.275
206791.0,0.269
206802.0,0.274
206831.0,0.279
206842.0,0.273
206871.0,0.272
206881.0,0.279
206911.0,0.276
206921.0,0.273
206951.0,0.276
206962.0,0.281
206991.0,0.268
207002.0,0.282
207031.0,0.279
207042.0,0.281
207071.0,0.275
207082.0,0.282
207111.0,0.268
207122.0,0.276
207151.0,0.281
207162.0,0.281
207191.0,0.271
207202.0,0.279
207231.0,0.285
207242.0,0.274
207271.0,0.274
207282.0,0.285
207311.0,0.276
207322.0,0.281
207351.0,0.277
207361.0,0.279
207391.0,0.27
207402.0,0.282
207431.0,0.284
207442.0,0.277
207471.0,0.276
207482.0,0.28
207511.0,0.279
207522.0,0.277
207551.0,0.278
207562.0,0.277
207591.0,0.278
207602.0,0.284
207631.0,0.283
207641.0,0.275
207671.0,0.276
207682.0,0.28
207711.0,0.279
207722.0,0.276
207751.0,0.281
207762.0,0.277
207791.0,0.272
207802.0,0.281
207831.0,0.281
207842.0,0.275
207871.0,0.272
207882.0,0.277
207911.0,0.271
207922.0,0.27
207951.0,0.276
207962.0,0.273
207991.0,0.268
208001.0,0.277
208031.0,0.273
208041.0,0.27
208071.0,0.268
208081.0,0.276
208111.0,0.269
208122.0,0.268
208151.0,0.273
208161.0,0.274
208191.0,0.268
208201.0,0.276
208231.0,0.271
208242.0,0.266
208271.0,0.269
208282.0,0.277
208311.0,0.265
208322.0,0.267
208351.0,0.271
208362.0,0.27
208391.0,0.267
208402.0,0.278
208431.0,0.27
208442.0,0.266
208471.0,0.27
208482.0,0.274
208511.0,0.269
208522.0,0.272
208551.0,0.272
208562.0,0.272
208591.0,0.263
208602.0,0.275
208631.0,0.272
208642.0,0.268
208671.0,0.271
208682.0,0.275
208711.0,0.272
208722.0,0.273
208751.0,0.273
208761.0,0.27
208791.0,0.267
208802.0,0.281
208831.0,0.272
208842.0,0.27
208871.0,0.268
208882.0,0.278
208911.0,0.271
208922.0,0.273
208951.0,0.275
208962.0,0.271
208991.0,0.268
209031.0,0.267
209042.0,0.263
209071.0,0.264
209082.0,0.275
209111.0,0.265
209122.0,0.265
209151.0,0.27
209161.0,0.269
209191.0,0.265
209202.0,0.274
209231.0,0.271
209242.0,0.263
209271.0,0.265
209282.0,0.273
209311.0,0.267
209322.0,0.271
209351.0,0.271
209362.0,0.27
209391.0,0.268
209402.0,0.271
209431.0,0.273
209442.0,0.268
209471.0,0.269
209482.0,0.276
209511.0,0.269
209521.0,0.27
209551.0,0.276
209562.0,0.27
209591.0,0.262
209601.0,0.274
209631.0,0.273
209642.0,0.27
209671.0,0.268
209682.0,0.274
209711.0,0.269
209722.0,0.27
209752.0,0.272
209762.0,0.273
209791.0,0.269
209802.0,0.278
209831.0,0.271
209842.0,0.265
209871.0,0.27
209882.0,0.276
209911.0,0.269
209922.0,0.272
209952.0,0.271
209962.0,0.27
209991.0,0.269
210002.0,0.278
210031.0,0.275
210042.0,0.268
210071.0,0.268
210082.0,0.281
210111.0,0.268
210122.0,0.27
210151.0,0.273
210162.0,0.271
210191.0,0.268
210202.0,0.278
210231.0,0.268
210242.0,0.271
210271.0,0.27
210282.0,0.274
210311.0,0.265
210322.0,0.27
210351.0,0.276
210362.0,0.275
210391.0,0.265
210402.0,0.278
210431.0,0.27
210442.0,0.269
210471.0,0.271
210482.0,0.273
210511.0,0.267
210522.0,0.268
210551.0,0.275
210562.0,0.27
210591.0,0.268
210602.0,0.277
210631.0,0.274
210642.0,0.27
210671.0,0.268
210682.0,0.274
210711.0,0.268
210751.0,0.268
210762.0,0.27
210791.0,0.261
210802.0,0.27
210831.0,0.271
210842.0,0.262
210871.0,0.268
210882.0,0.275
210911.0,0.263
210922.0,0.271
210991.0,0.249
211002.0,0.26
211031.0,0.26
211042.0,0.26
211072.0,0.26
211082.0,0.265
211111.0,0.257
211122.0,0.262
211151.0,0.265
211162.0,0.257
211191.0,0.259
211202.0,0.269
211231.0,0.268
211242.0,0.26
211271.0,0.269
211312.0,0.255
211322.0,0.264
211351.0,0.263
211362.0,0.257
211391.0,0.259
211402.0,0.272
211431.0,0.267
211442.0,0.263
211471.0,0.265
211482.0,0.27
211511.0,0.26
211522.0,0.268
211551.0,0.268
211562.0,0.267
211591.0,0.265
211602.0,0.274
211631.0,0.268
211642.0,0.266
211671.0,0.265
211682.0,0.271
211711.0,0.266
211722.0,0.272
211751.0,0.276
211762.0,0.264
211791.0,0.264
211802.0,0.274
211831.0,0.269
211842.0,0.269
211871.0,0.271
211882.0,0.273
211911.0,0.268
211922.0,0.272
211951.0,0.276
211962.0,0.27
211991.0,0.264
