time,voltage
24000.0,0.366
24010.0,0.359
24021.0,0.357
24032.0,0.361
24042.0,0.355
24053.0,0.357
24063.0,0.362
24074.0,0.354
24084.0,0.356
24095.0,0.352
24107.0,0.35
24117.0,0.357
24147.0,0.347
24227.0,0.312
24238.0,0.316
24267.0,0.31
24277.0,0.312
24307.0,0.301
24317.0,0.313
24347.0,0.312
24357.0,0.301
24387.0,0.298
24397.0,0.306
24427.0,0.298
24437.0,0.296
24467.0,0.3
24477.0,0.303
24547.0,0.289
24557.0,0.283
24587.0,0.282
24597.0,0.29
24627.0,0.282
24637.0,0.287
24667.0,0.283
24677.0,0.284
24707.0,0.281
24717.0,0.291
24747.0,0.284
24758.0,0.278
24827.0,0.262
24837.0,0.266
24867.0,0.274
24907.0,0.259
24917.0,0.272
24947.0,0.268
24958.0,0.265
24987.0,0.269
25027.0,0.259
25037.0,0.263
25067.0,0.268
25077.0,0.264
25107.0,0.257
25117.0,0.268
25147.0,0.272
25227.0,0.248
25238.0,0.251
25307.0,0.243
25318.0,0.256
25387.0,0.236
25397.0,0.247
25427.0,0.236
25437.0,0.247
25467.0,0.248
25477.0,0.251
25507.0,0.248
25517.0,0.257
25547.0,0.254
25558.0,0.257
25587.0,0.259
25597.0,0.264
25627.0,0.255
25637.0,0.263
25667.0,0.265
25677.0,0.265
25707.0,0.261
25717.0,0.273
25787.0,0.257
25797.0,0.267
25827.0,0.259
25837.0,0.264
25867.0,0.268
25877.0,0.265
25907.0,0.263
25917.0,0.273
25987.0,0.251
25997.0,0.264
26027.0,0.256
26037.0,0.257
26067.0,0.262
26077.0,0.262
26107.0,0.258
26117.0,0.269
26147.0,0.267
26227.0,0.244
26237.0,0.252
26267.0,0.258
26277.0,0.248
26307.0,0.251
26317.0,0.263
26347.0,0.258
26357.0,0.253
26387.0,0.257
26397.0,0.266
26427.0,0.255
26467.0,0.26
26478.0,0.255
26507.0,0.256
26517.0,0.266
26547.0,0.265
26557.0,0.26
26587.0,0.26
26627.0,0.254
26638.0,0.259
26667.0,0.262
26677.0,0.262
26707.0,0.257
26717.0,0.264
26747.0,0.263
26757.0,0.257
26787.0,0.265
26797.0,0.265
26827.0,0.26
26838.0,0.264
26947.0,0.247
26958.0,0.246
26987.0,0.246
26997.0,0.254
27027.0,0.245
27037.0,0.252
27067.0,0.254
27077.0,0.259
27107.0,0.246
27117.0,0.266
27147.0,0.261
27227.0,0.239
27238.0,0.245
27267.0,0.25
27277.0,0.251
27307.0,0.245
27347.0,0.248
27357.0,0.243
27427.0,0.238
27437.0,0.244
27467.0,0.249
27477.0,0.247
27507.0,0.246
27517.0,0.257
27627.0,0.227
27637.0,0.24
27667.0,0.241
27677.0,0.24
27707.0,0.236
27717.0,0.249
27747.0,0.247
27758.0,0.246
27787.0,0.25
27797.0,0.257
27827.0,0.25
27837.0,0.256
27867.0,0.255
27877.0,0.257
27907.0,0.252
27917.0,0.265
27947.0,0.257
27957.0,0.255
27987.0,0.263
27997.0,0.267
28027.0,0.255
28037.0,0.267
28067.0,0.268
28077.0,0.262
28107.0,0.257
28117.0,0.273
28147.0,0.263
28157.0,0.265
28187.0,0.262
28227.0,0.257
28238.0,0.263
28267.0,0.265
28277.0,0.26
28307.0,0.26
28317.0,0.272
28347.0,0.262
28357.0,0.262
28387.0,0.268
28397.0,0.273
28467.0,0.257
28477.0,0.259
28507.0,0.254
28517.0,0.27
28547.0,0.266
28557.0,0.257
28627.0,0.257
28637.0,0.261
28667.0,0.26
28677.0,0.26
28707.0,0.257
28717.0,0.27
28747.0,0.26
28757.0,0.262
28827.0,0.252
28837.0,0.266
28867.0,0.262
28877.0,0.255
28907.0,0.257
28917.0,0.27
28947.0,0.264
28987.0,0.26
28997.0,0.263
29027.0,0.263
29067.0,0.269
29078.0,0.263
29107.0,0.257
29117.0,0.271
29147.0,0.269
29157.0,0.262
29187.0,0.266
29197.0,0.27
29227.0,0.265
29267.0,0.266
29277.0,0.263
29307.0,0.257
29317.0,0.272
29467.0,0.243
29477.0,0.236
29507.0,0.24
29547.0,0.244
29558.0,0.239
29627.0,0.231
29637.0,0.241
29667.0,0.243
29677.0,0.243
29707.0,0.241
29717.0,0.253
29747.0,0.246
29757.0,0.242
29787.0,0.253
29797.0,0.257
29827.0,0.249
29837.0,0.254
29867.0,0.257
29878.0,0.254
29907.0,0.252
29917.0,0.263
29947.0,0.254
29957.0,0.254
29987.0,0.263
29997.0,0.263
30027.0,0.251
30037.0,0.266
30067.0,0.262
30077.0,0.259
30107.0,0.254
30117.0,0.269
30147.0,0.262
30157.0,0.266
30347.0,0.226
30358.0,0.229
30427.0,0.218
30437.0,0.232
30467.0,0.235
30477.0,0.235
30507.0,0.239
30517.0,0.249
30547.0,0.243
30557.0,0.239
30587.0,0.249
30627.0,0.244
30637.0,0.25
30667.0,0.252
30677.0,0.249
30707.0,0.249
30717.0,0.262
30747.0,0.254
30757.0,0.257
30787.0,0.262
30827.0,0.245
30837.0,0.259
30867.0,0.263
30877.0,0.254
30907.0,0.256
30917.0,0.266
30947.0,0.263
30957.0,0.264
30987.0,0.266
30998.0,0.268
31027.0,0.262
31037.0,0.268
31067.0,0.27
31078.0,0.263
31107.0,0.261
31118.0,0.272
31187.0,0.255
31197.0,0.257
31227.0,0.252
31268.0,0.254
31278.0,0.255
31347.0,0.24
31357.0,0.243
31427.0,0.227
31438.0,0.246
31467.0,0.247
31477.0,0.239
31507.0,0.242
31518.0,0.253
31547.0,0.245
31558.0,0.249
31627.0,0.235
31667.0,0.242
31678.0,0.24
31747.0,0.229
31757.0,0.232
31787.0,0.239
31828.0,0.23
31838.0,0.246
31867.0,0.246
31878.0,0.238
31907.0,0.239
31918.0,0.251
31947.0,0.244
31987.0,0.246
31997.0,0.245
32027.0,0.245
32037.0,0.257
32067.0,0.257
32077.0,0.253
32107.0,0.248
32118.0,0.258
32147.0,0.256
32157.0,0.256
32187.0,0.26
32267.0,0.245
32278.0,0.239
32307.0,0.243
32317.0,0.257
32347.0,0.245
32357.0,0.245
32387.0,0.25
32398.0,0.251
32427.0,0.246
32467.0,0.251
32508.0,0.238
32518.0,0.251
32548.0,0.241
32558.0,0.246
32587.0,0.251
32627.0,0.239
32638.0,0.251
32707.0,0.234
32718.0,0.243
32787.0,0.233
32907.0,0.21
32918.0,0.222
32947.0,0.217
32958.0,0.218
33027.0,0.213
33067.0,0.222
33078.0,0.215
33107.0,0.223
33117.0,0.232
33147.0,0.224
33158.0,0.23
33187.0,0.232
33198.0,0.237
33267.0,0.229
33278.0,0.229
33307.0,0.227
33318.0,0.24
33387.0,0.232
33397.0,0.23
33427.0,0.229
33507.0,0.216
33518.0,0.231
33547.0,0.227
33558.0,0.23
33627.0,0.216
33668.0,0.224
33678.0,0.224
33707.0,0.228
33718.0,0.235
33747.0,0.228
33758.0,0.232
33787.0,0.238
33798.0,0.238
33827.0,0.237
33838.0,0.245
33867.0,0.246
33878.0,0.24
33907.0,0.246
33918.0,0.254
33947.0,0.249
33957.0,0.251
33987.0,0.251
33998.0,0.254
34027.0,0.246
34038.0,0.257
34107.0,0.243
34117.0,0.255
34187.0,0.238
34198.0,0.238
34227.0,0.235
34237.0,0.246
34267.0,0.246
34347.0,0.225
34358.0,0.231
34427.0,0.222
34437.0,0.234
34467.0,0.232
34477.0,0.23
34507.0,0.234
34518.0,0.243
34547.0,0.238
34558.0,0.244
34587.0,0.243
34597.0,0.245
34627.0,0.24
34668.0,0.245
34678.0,0.241
34787.0,0.227
34797.0,0.227
34827.0,0.221
34838.0,0.238
34867.0,0.238
34878.0,0.235
34907.0,0.24
34918.0,0.248
34947.0,0.238
34958.0,0.246
34987.0,0.246
35028.0,0.235
35038.0,0.246
35067.0,0.248
35108.0,0.24
35118.0,0.245
35147.0,0.239
35157.0,0.247
35187.0,0.251
35227.0,0.236
35267.0,0.242
35278.0,0.24
35307.0,0.245
35318.0,0.25
35347.0,0.246
35358.0,0.246
35427.0,0.235
35438.0,0.243
35467.0,0.247
35478.0,0.244
35507.0,0.246
35518.0,0.254
35547.0,0.249
35558.0,0.253
35587.0,0.254
35627.0,0.246
35638.0,0.256
35667.0,0.254
35678.0,0.245
35707.0,0.251
35718.0,0.258
35747.0,0.254
35758.0,0.254
35827.0,0.239
35838.0,0.251
35867.0,0.251
35878.0,0.247
35907.0,0.253
35918.0,0.26
35947.0,0.253
35958.0,0.254
35987.0,0.262
35998.0,0.254
36027.0,0.254
36038.0,0.265
36067.0,0.258
36107.0,0.257
36118.0,0.257
36147.0,0.254
36158.0,0.26
36187.0,0.263
36198.0,0.257
36227.0,0.257
36238.0,0.265
36347.0,0.234
36358.0,0.239
36387.0,0.249
36398.0,0.24
36467.0,0.24
36478.0,0.238
36507.0,0.239
36517.0,0.247
36547.0,0.239
36558.0,0.247
36587.0,0.25
36598.0,0.25
36627.0,0.245
36638.0,0.254
36667.0,0.256
36678.0,0.251
36707.0,0.254
36718.0,0.265
36747.0,0.254
36758.0,0.262
36787.0,0.261
36798.0,0.262
36867.0,0.249
36878.0,0.246
36907.0,0.245
36918.0,0.258
36987.0,0.243
36998.0,0.246
37027.0,0.236
37068.0,0.242
37078.0,0.247
37107.0,0.245
37117.0,0.251
37187.0,0.244
37228.0,0.227
37238.0,0.24
37267.0,0.243
37278.0,0.24
37307.0,0.243
37318.0,0.247
37347.0,0.246
37387.0,0.246
37398.0,0.246
37427.0,0.243
37438.0,0.254
37467.0,0.251
37478.0,0.248
37507.0,0.251
37518.0,0.254
37547.0,0.247
37558.0,0.257
37627.0,0.246
37638.0,0.249
37667.0,0.244
37678.0,0.246
37707.0,0.252
37718.0,0.253
37747.0,0.248
37758.0,0.252
37787.0,0.257
37798.0,0.252
37827.0,0.249
37868.0,0.253
37878.0,0.252
37907.0,0.254
37918.0,0.259
37947.0,0.249
37958.0,0.254
38027.0,0.24
38038.0,0.251
38067.0,0.251
38078.0,0.251
38107.0,0.247
38118.0,0.251
38147.0,0.249
38158.0,0.254
38267.0,0.235
38348.0,0.219
38358.0,0.224
38387.0,0.233
38398.0,0.228
38427.0,0.227
38508.0,0.224
38518.0,0.231
38587.0,0.223
38598.0,0.219
38627.0,0.216
38667.0,0.223
38678.0,0.224
38707.0,0.229
38747.0,0.223
38758.0,0.235
38787.0,0.237
38798.0,0.235
38827.0,0.229
38838.0,0.24
38867.0,0.24
38878.0,0.238
38907.0,0.24
38918.0,0.248
38947.0,0.246
38958.0,0.25
38987.0,0.254
38998.0,0.249
39027.0,0.246
39038.0,0.257
39067.0,0.253
39078.0,0.251
39107.0,0.257
39118.0,0.257
39147.0,0.25
39158.0,0.258
39187.0,0.266
39198.0,0.254
39227.0,0.253
39238.0,0.264
39267.0,0.253
39278.0,0.257
39307.0,0.262
39318.0,0.262
39387.0,0.254
39398.0,0.245
39427.0,0.242
39438.0,0.257
39627.0,0.21
39638.0,0.222
39667.0,0.218
39678.0,0.221
39708.0,0.227
39718.0,0.233
39747.0,0.224
39758.0,0.235
39787.0,0.237
39798.0,0.233
39827.0,0.233
39867.0,0.237
39878.0,0.234
39947.0,0.226
39958.0,0.233
39987.0,0.236
39998.0,0.235
40027.0,0.238
40038.0,0.246
40067.0,0.238
40078.0,0.241
40107.0,0.246
40118.0,0.248
40187.0,0.241
40227.0,0.231
40238.0,0.239
40267.0,0.239
40278.0,0.238
40307.0,0.246
40318.0,0.248
40387.0,0.24
40398.0,0.235
40427.0,0.236
40438.0,0.252
40467.0,0.245
40478.0,0.244
40547.0,0.233
40558.0,0.243
40587.0,0.244
40598.0,0.241
40627.0,0.245
40638.0,0.255
40667.0,0.248
40678.0,0.25
40747.0,0.24
40758.0,0.249
40787.0,0.251
40798.0,0.251
40867.0,0.246
40878.0,0.246
40907.0,0.257
40947.0,0.239
40958.0,0.251
41027.0,0.234
41038.0,0.243
41067.0,0.24
41078.0,0.24
41107.0,0.248
41118.0,0.249
41147.0,0.242
41187.0,0.246
41267.0,0.234
41278.0,0.231
41307.0,0.24
41388.0,0.226
41398.0,0.223
41427.0,0.227
41438.0,0.243
41467.0,0.232
41478.0,0.233
41507.0,0.243
41547.0,0.232
41558.0,0.24
41568.0,0.249
41587.0,0.252
41598.0,0.247
41627.0,0.243
41638.0,0.255
41667.0,0.253
41678.0,0.251
41747.0,0.24
41758.0,0.246
41787.0,0.251
41798.0,0.247
41827.0,0.242
41838.0,0.257
41867.0,0.252
41878.0,0.251
41907.0,0.254
41918.0,0.255
41947.0,0.251
41987.0,0.26
42148.0,0.221
42158.0,0.229
42187.0,0.235
42198.0,0.232
42227.0,0.235
42238.0,0.242
42267.0,0.24
42278.0,0.239
42307.0,0.243
42347.0,0.232
42388.0,0.238
42468.0,0.227
42507.0,0.226
42518.0,0.229
42547.0,0.223
42587.0,0.232
42598.0,0.229
42608.0,0.239
42627.0,0.238
42788.0,0.217
42798.0,0.213
42827.0,0.221
42838.0,0.232
42867.0,0.227
42878.0,0.224
42907.0,0.236
42947.0,0.227
43027.0,0.214
43038.0,0.229
43107.0,0.218
43148.0,0.21
43158.0,0.221
43187.0,0.228
43198.0,0.218
43227.0,0.224
43238.0,0.235
43267.0,0.233
43278.0,0.229
43307.0,0.243
43318.0,0.239
43347.0,0.235
43427.0,0.224
43438.0,0.235
43467.0,0.229
43478.0,0.233
43548.0,0.223
43588.0,0.226
43667.0,0.216
43678.0,0.218
43707.0,0.227
43718.0,0.227
43747.0,0.224
43758.0,0.235
43787.0,0.24
43798.0,0.235
43827.0,0.235
43838.0,0.248
43867.0,0.242
43878.0,0.242
43988.0,0.233
43998.0,0.231
44067.0,0.224
44078.0,0.229
44107.0,0.234
44147.0,0.22
44158.0,0.24
44187.0,0.241
44198.0,0.236
44227.0,0.237
44267.0,0.233
44308.0,0.238
44427.0,0.213
44468.0,0.211
44478.0,0.213
44507.0,0.221
44518.0,0.224
44587.0,0.222
44628.0,0.213
44667.0,0.216
44678.0,0.218
44747.0,0.208
44758.0,0.222
44787.0,0.224
44867.0,0.204
44878.0,0.211
44947.0,0.205
44958.0,0.218
44987.0,0.222
44998.0,0.218
45028.0,0.218
45038.0,0.228
45067.0,0.228
45078.0,0.231
45147.0,0.219
45158.0,0.231
45187.0,0.233
45198.0,0.224
45227.0,0.229
45238.0,0.246
45267.0,0.238
45348.0,0.221
45428.0,0.211
45438.0,0.225
45587.0,0.199
45598.0,0.198
45667.0,0.192
45748.0,0.189
45787.0,0.199
45988.0,0.177
46148.0,0.16
46227.0,0.167
46347.0,0.157
46468.0,0.161
46478.0,0.163
46507.0,0.177
46588.0,0.179
46598.0,0.175
46627.0,0.184
46667.0,0.186
46708.0,0.196
46747.0,0.191
46758.0,0.201
46787.0,0.204
46798.0,0.205
46867.0,0.202
46878.0,0.209
46988.0,0.201
47107.0,0.186
47148.0,0.182
47158.0,0.199
47187.0,0.199
47228.0,0.199
47268.0,0.195
47278.0,0.202
47307.0,0.213
47348.0,0.202
47387.0,0.213
47398.0,0.21
47427.0,0.213
47467.0,0.215
47548.0,0.198
47558.0,0.215
47668.0,0.197
47827.0,0.181
47838.0,0.192
47867.0,0.186
47878.0,0.197
47988.0,0.192
47998.0,0.188
48187.0,0.18
48198.0,0.179
48208.0,0.191
48268.0,0.19
48278.0,0.191
48308.0,0.201
48347.0,0.197
48358.0,0.208
48428.0,0.202
48468.0,0.204
48548.0,0.199
48558.0,0.208
48667.0,0.199
48788.0,0.196
48827.0,0.196
48838.0,0.205
48867.0,0.206
48878.0,0.209
48907.0,0.216
48988.0,0.21
49068.0,0.202
49078.0,0.21
49107.0,0.218
49118.0,0.218
49147.0,0.218
49158.0,0.227
49188.0,0.232
49198.0,0.229
49227.0,0.234
49268.0,0.23
49279.0,0.235
49307.0,0.242
49387.0,0.233
49398.0,0.229
49507.0,0.227
49518.0,0.222
49547.0,0.224
49587.0,0.227
49598.0,0.224
49707.0,0.215
49748.0,0.213
49758.0,0.225
49867.0,0.207
49908.0,0.213
49987.0,0.198
50068.0,0.191
50078.0,0.2
50107.0,0.208
50148.0,0.206
50187.0,0.205
50198.0,0.208
50267.0,0.204
50278.0,0.216
50307.0,0.221
50348.0,0.212
50358.0,0.225
50387.0,0.224
50398.0,0.222
50428.0,0.226
50438.0,0.229
50467.0,0.228
50508.0,0.233
50588.0,0.219
50598.0,0.218
50668.0,0.21
50678.0,0.218
50788.0,0.203
50799.0,0.209
50868.0,0.202
50878.0,0.208
50908.0,0.216
50918.0,0.216
50929.0,0.224
50988.0,0.228
50998.0,0.218
51028.0,0.226
51188.0,0.209
51198.0,0.205
51228.0,0.216
51238.0,0.222
51267.0,0.219
51278.0,0.228
51308.0,0.232
51318.0,0.229
51388.0,0.231
51428.0,0.225
51438.0,0.235
51468.0,0.232
51478.0,0.236
51507.0,0.243
51518.0,0.244
51547.0,0.238
51588.0,0.244
51598.0,0.24
51608.0,0.251
51628.0,0.252
51638.0,0.257
51668.0,0.254
51678.0,0.263
51708.0,0.262
51718.0,0.258
51748.0,0.257
51758.0,0.267
51788.0,0.265
51798.0,0.261
51828.0,0.262
51838.0,0.268
51848.0,0.262
51868.0,0.265
51908.0,0.268
51919.0,0.268
51948.0,0.262
51959.0,0.272
51987.0,0.27
51998.0,0.269
52027.0,0.273
52108.0,0.261
52118.0,0.251
52227.0,0.233
52268.0,0.23
52278.0,0.236
52308.0,0.24
52318.0,0.236
52387.0,0.234
52428.0,0.227
52468.0,0.223
52478.0,0.233
52507.0,0.233
52518.0,0.234
52588.0,0.232
52598.0,0.226
52628.0,0.237
52638.0,0.24
52668.0,0.24
52678.0,0.238
52788.0,0.226
52798.0,0.221
52827.0,0.227
52838.0,0.235
52908.0,0.227
52948.0,0.216
52958.0,0.227
52988.0,0.227
53068.0,0.216
53078.0,0.223
53108.0,0.227
53118.0,0.228
53228.0,0.216
53238.0,0.225
53267.0,0.216
53278.0,0.225
53308.0,0.232
53318.0,0.226
53348.0,0.229
53358.0,0.237
53388.0,0.235
53398.0,0.238
53427.0,0.244
53438.0,0.245
53468.0,0.237
53548.0,0.229
53558.0,0.24
53668.0,0.213
53679.0,0.222
53708.0,0.229
53718.0,0.224
53788.0,0.224
53868.0,0.208
53878.0,0.22
53889.0,0.227
53908.0,0.231
53919.0,0.23
53948.0,0.228
53958.0,0.239
54068.0,0.213
54079.0,0.221
54148.0,0.213
54158.0,0.224
54187.0,0.228
54388.0,0.194
54398.0,0.193
54508.0,0.195
54518.0,0.19
54548.0,0.193
54708.0,0.191
54719.0,0.193
54748.0,0.191
54908.0,0.193
54918.0,0.188
54948.0,0.195
54958.0,0.208
55068.0,0.194
55078.0,0.207
55108.0,0.216
55148.0,0.208
55159.0,0.215
55188.0,0.216
55199.0,0.214
55348.0,0.202
55358.0,0.217
55388.0,0.212
55398.0,0.213
55548.0,0.2
55558.0,0.21
55588.0,0.21
55598.0,0.21
55668.0,0.211
55748.0,0.21
55758.0,0.219
55788.0,0.218
55798.0,0.216
55868.0,0.213
55908.0,0.222
55919.0,0.218
55988.0,0.221
56068.0,0.21
56078.0,0.219
56108.0,0.228
56118.0,0.221
56148.0,0.224
56158.0,0.237
56188.0,0.233
56198.0,0.235
56348.0,0.213
56388.0,0.213
56399.0,0.22
56468.0,0.211
56548.0,0.205
56558.0,0.22
56748.0,0.186
56758.0,0.201
56788.0,0.197
56798.0,0.206
56988.0,0.183
56999.0,0.19
57108.0,0.191
57118.0,0.187
57148.0,0.189
57158.0,0.205
57268.0,0.186
57278.0,0.199
57308.0,0.208
57348.0,0.201
57468.0,0.187
57508.0,0.198
57518.0,0.199
57548.0,0.2
57668.0,0.186
57678.0,0.201
57708.0,0.206
57718.0,0.207
57748.0,0.21
57828.0,0.211
57908.0,0.21
57918.0,0.207
57948.0,0.213
57959.0,0.224
57988.0,0.224
58068.0,0.21
58078.0,0.216
58148.0,0.21
58158.0,0.218
58188.0,0.218
58198.0,0.221
58268.0,0.216
58278.0,0.224
58308.0,0.228
58318.0,0.228
58388.0,0.22
58399.0,0.226
58428.0,0.232
58468.0,0.222
58478.0,0.23
58508.0,0.235
58518.0,0.232
58548.0,0.232
58558.0,0.243
58588.0,0.238
58668.0,0.22
58679.0,0.23
58788.0,0.215
58799.0,0.216
58828.0,0.226
58868.0,0.219
58988.0,0.203
58999.0,0.208
59028.0,0.216
59068.0,0.213
59108.0,0.217
59188.0,0.204
59198.0,0.208
59228.0,0.221
59268.0,0.208
59308.0,0.219
59428.0,0.2
59468.0,0.198
59478.0,0.213
59508.0,0.216
59548.0,0.21
59559.0,0.218
59588.0,0.216
59598.0,0.221
59628.0,0.228
59668.0,0.218
59678.0,0.233
59788.0,0.209
59798.0,0.217
59828.0,0.227
59868.0,0.213
59878.0,0.228
59988.0,0.207
59998.0,0.213
60068.0,0.202
60078.0,0.219
60108.0,0.216
60118.0,0.216
60148.0,0.221
60188.0,0.219
60199.0,0.227
60268.0,0.213
60278.0,0.228
60308.0,0.232
60318.0,0.227
60348.0,0.23
60388.0,0.227
60399.0,0.23
60468.0,0.221
60508.0,0.231
60518.0,0.227
60548.0,0.232
60558.0,0.238
60588.0,0.23
60668.0,0.217
60708.0,0.229
60719.0,0.224
60828.0,0.215
60838.0,0.213
60868.0,0.215
60879.0,0.227
60908.0,0.227
60948.0,0.224
60959.0,0.23
60988.0,0.228
61068.0,0.21
61079.0,0.224
61108.0,0.229
61118.0,0.224
61188.0,0.215
61198.0,0.225
61228.0,0.23
61239.0,0.229
61308.0,0.226
61318.0,0.226
61428.0,0.216
61508.0,0.21
61588.0,0.202
61708.0,0.192
61718.0,0.194
61748.0,0.199
61788.0,0.197
61799.0,0.201
61828.0,0.215
61839.0,0.215
61908.0,0.21
62028.0,0.203
62039.0,0.201
62068.0,0.204
62078.0,0.213
62108.0,0.216
62118.0,0.213
62148.0,0.222
62158.0,0.227
62228.0,0.221
62239.0,0.221
62309.0,0.22
62319.0,0.218
62330.0,0.228
62468.0,0.2
62479.0,0.216
62508.0,0.213
62518.0,0.21
62548.0,0.22
62558.0,0.228
62588.0,0.223
62599.0,0.231
62628.0,0.233
62639.0,0.234
62668.0,0.229
62678.0,0.242
62708.0,0.246
62718.0,0.243
62748.0,0.245
62788.0,0.24
62828.0,0.239
62839.0,0.243
62868.0,0.237
62908.0,0.238
63188.0,0.183
63199.0,0.197
63228.0,0.198
63388.0,0.18
63398.0,0.185
63428.0,0.195
63438.0,0.192
63468.0,0.194
63508.0,0.205
63519.0,0.201
63628.0,0.196
63668.0,0.191
63678.0,0.206
63708.0,0.205
63718.0,0.208
63788.0,0.2
63908.0,0.186
64028.0,0.187
64038.0,0.19
64068.0,0.186
64078.0,0.205
64188.0,0.185
64228.0,0.197
64238.0,0.194
64268.0,0.199
64308.0,0.199
64468.0,0.179
64479.0,0.197
64508.0,0.192
64549.0,0.195
64588.0,0.195
64598.0,0.204
64628.0,0.212
64708.0,0.202
64719.0,0.203
64788.0,0.199
64828.0,0.21
64839.0,0.204
64868.0,0.207
64878.0,0.223
64908.0,0.224
64918.0,0.216
64988.0,0.213
65028.0,0.222
65068.0,0.215
65108.0,0.215
65119.0,0.219
65188.0,0.209
65228.0,0.217
65238.0,0.218
65268.0,0.22
65278.0,0.227
65308.0,0.221
65318.0,0.229
65388.0,0.219
65428.0,0.231
65439.0,0.224
65468.0,0.227
65548.0,0.226
65558.0,0.224
65628.0,0.221
65639.0,0.219
65668.0,0.224
65678.0,0.233
65828.0,0.21
65948.0,0.196
65959.0,0.198
66028.0,0.205
66108.0,0.19
66119.0,0.194
66148.0,0.206
66228.0,0.202
66308.0,0.194
66318.0,0.197
66348.0,0.206
66428.0,0.203
66508.0,0.194
66519.0,0.197
66588.0,0.192
66598.0,0.201
66708.0,0.188
