time,voltage
794255.0,0.265
794285.0,0.26
794325.0,0.257
794336.0,0.262
794365.0,0.256
794375.0,0.262
794405.0,0.26
794416.0,0.262
794445.0,0.258
794456.0,0.272
794485.0,0.265
794565.0,0.244
794575.0,0.254
794605.0,0.254
794615.0,0.249
794645.0,0.249
794655.0,0.261
794685.0,0.257
794695.0,0.257
794725.0,0.259
794735.0,0.258
794765.0,0.259
794775.0,0.262
794805.0,0.264
794845.0,0.254
794855.0,0.262
794885.0,0.259
794895.0,0.257
794965.0,0.248
794975.0,0.256
795045.0,0.242
795055.0,0.252
795085.0,0.245
795095.0,0.246
795125.0,0.254
795136.0,0.251
795165.0,0.249
795175.0,0.257
795245.0,0.242
795255.0,0.251
795285.0,0.249
795296.0,0.249
795326.0,0.253
795365.0,0.246
795376.0,0.253
795405.0,0.257
795416.0,0.25
795445.0,0.245
795455.0,0.259
795485.0,0.249
795495.0,0.259
795525.0,0.252
795535.0,0.254
795565.0,0.248
795575.0,0.259
795605.0,0.262
795615.0,0.257
795645.0,0.26
795655.0,0.263
795685.0,0.257
795695.0,0.258
795725.0,0.266
795735.0,0.264
795805.0,0.251
795815.0,0.251
795845.0,0.251
795856.0,0.257
795925.0,0.246
795936.0,0.242
795965.0,0.238
795976.0,0.251
796005.0,0.249
796015.0,0.246
796045.0,0.247
796055.0,0.255
796125.0,0.24
796135.0,0.243
796165.0,0.238
796175.0,0.246
796205.0,0.249
796215.0,0.245
796245.0,0.249
796255.0,0.257
796325.0,0.24
796336.0,0.246
796365.0,0.235
796375.0,0.249
796405.0,0.248
796416.0,0.241
796445.0,0.246
796485.0,0.242
796496.0,0.246
796525.0,0.249
796535.0,0.25
796565.0,0.243
796575.0,0.254
796605.0,0.254
796615.0,0.251
796645.0,0.254
796655.0,0.255
796685.0,0.253
796695.0,0.254
796725.0,0.259
796735.0,0.257
796765.0,0.253
796775.0,0.263
796805.0,0.26
796815.0,0.256
796845.0,0.257
796925.0,0.242
796936.0,0.241
796965.0,0.24
796975.0,0.251
797005.0,0.246
797015.0,0.246
797045.0,0.251
797055.0,0.257
797085.0,0.248
797096.0,0.256
797125.0,0.256
797135.0,0.251
797165.0,0.252
797175.0,0.262
797205.0,0.261
797216.0,0.258
797245.0,0.257
797255.0,0.262
797285.0,0.255
797365.0,0.239
797376.0,0.247
797405.0,0.246
797415.0,0.249
797445.0,0.251
797455.0,0.257
797485.0,0.251
797495.0,0.254
797525.0,0.257
797536.0,0.255
797565.0,0.251
797575.0,0.262
797605.0,0.26
