time,voltage
217282.0,0.269
217311.0,0.263
217322.0,0.274
217351.0,0.273
217362.0,0.265
217391.0,0.275
217402.0,0.277
217431.0,0.27
217442.0,0.272
217471.0,0.278
217482.0,0.274
217511.0,0.27
217522.0,0.274
217551.0,0.275
217562.0,0.273
217591.0,0.275
217602.0,0.281
217631.0,0.272
217642.0,0.278
217671.0,0.278
217682.0,0.276
217711.0,0.272
217722.0,0.281
217751.0,0.277
217762.0,0.274
217791.0,0.274
217832.0,0.27
217842.0,0.276
217871.0,0.275
217882.0,0.275
217911.0,0.271
217922.0,0.281
217951.0,0.273
217962.0,0.27
217991.0,0.276
218002.0,0.279
218031.0,0.273
218042.0,0.281
218071.0,0.281
218082.0,0.273
218111.0,0.271
218122.0,0.279
218151.0,0.278
218162.0,0.277
218191.0,0.281
218202.0,0.279
218231.0,0.27
218242.0,0.277
218271.0,0.281
218282.0,0.273
218311.0,0.269
218322.0,0.277
218351.0,0.274
218362.0,0.273
218391.0,0.271
218402.0,0.274
218431.0,0.268
218442.0,0.275
218471.0,0.273
218482.0,0.27
218511.0,0.271
218522.0,0.276
218551.0,0.273
218562.0,0.268
218591.0,0.272
218602.0,0.274
218631.0,0.269
218642.0,0.279
218671.0,0.276
218682.0,0.269
218711.0,0.272
218722.0,0.279
218751.0,0.271
218762.0,0.268
218791.0,0.275
218831.0,0.262
218842.0,0.265
218871.0,0.27
218882.0,0.265
218951.0,0.252
218962.0,0.253
218991.0,0.257
219002.0,0.26
219031.0,0.254
219042.0,0.26
219071.0,0.262
219082.0,0.26
219111.0,0.26
219122.0,0.27
219151.0,0.26
219162.0,0.261
219191.0,0.262
219202.0,0.267
219231.0,0.26
219242.0,0.27
219271.0,0.271
219312.0,0.262
219322.0,0.272
219351.0,0.263
219362.0,0.267
219391.0,0.265
219402.0,0.27
219431.0,0.265
219442.0,0.272
219471.0,0.272
219482.0,0.272
219511.0,0.266
219522.0,0.277
219551.0,0.275
219562.0,0.269
219591.0,0.271
219602.0,0.274
219631.0,0.27
219642.0,0.276
219671.0,0.279
219682.0,0.275
219711.0,0.274
219722.0,0.28
219751.0,0.278
219762.0,0.273
219831.0,0.263
219842.0,0.269
219872.0,0.272
219882.0,0.265
219951.0,0.259
219962.0,0.256
219991.0,0.266
220002.0,0.264
220071.0,0.254
220082.0,0.255
220111.0,0.254
220122.0,0.262
220151.0,0.257
220162.0,0.26
220191.0,0.262
220202.0,0.267
220231.0,0.258
220242.0,0.27
220272.0,0.272
220282.0,0.268
220311.0,0.266
220322.0,0.276
220351.0,0.268
220362.0,0.273
220391.0,0.273
220402.0,0.276
220431.0,0.265
220442.0,0.271
