time,voltage
436927.0,0.242
436996.0,0.236
437007.0,0.246
437036.0,0.25
437047.0,0.245
437077.0,0.249
437087.0,0.256
437116.0,0.251
437127.0,0.252
437157.0,0.257
437167.0,0.262
437197.0,0.257
437207.0,0.262
437237.0,0.26
437247.0,0.262
437277.0,0.263
437287.0,0.268
437316.0,0.265
437327.0,0.263
437357.0,0.265
437367.0,0.269
437397.0,0.265
437407.0,0.268
437437.0,0.271
437447.0,0.27
437477.0,0.266
437487.0,0.277
437516.0,0.269
437527.0,0.269
437557.0,0.274
437567.0,0.274
437596.0,0.267
437607.0,0.273
437637.0,0.279
437647.0,0.273
437676.0,0.27
437687.0,0.282
437716.0,0.27
437727.0,0.273
437757.0,0.278
437767.0,0.273
437797.0,0.267
437807.0,0.273
437837.0,0.271
437847.0,0.272
437876.0,0.264
437887.0,0.275
437917.0,0.266
437927.0,0.265
437938.0,0.275
437948.0,0.271
437959.0,0.276
437969.0,0.281
437996.0,0.27
438037.0,0.273
438047.0,0.27
438077.0,0.263
438087.0,0.274
438117.0,0.262
438127.0,0.265
438156.0,0.268
438167.0,0.272
438197.0,0.261
438207.0,0.269
438316.0,0.238
438327.0,0.244
438356.0,0.246
438367.0,0.248
438396.0,0.245
438437.0,0.247
438448.0,0.244
438477.0,0.243
438487.0,0.251
438516.0,0.244
438527.0,0.247
438557.0,0.253
438567.0,0.254
438597.0,0.248
438607.0,0.257
438636.0,0.256
438647.0,0.251
438677.0,0.248
438717.0,0.249
438727.0,0.248
438757.0,0.252
438767.0,0.253
438797.0,0.246
438807.0,0.26
438837.0,0.259
438847.0,0.25
438877.0,0.252
438887.0,0.263
438916.0,0.254
438927.0,0.256
438957.0,0.258
438967.0,0.258
438997.0,0.257
439007.0,0.264
439036.0,0.26
439047.0,0.254
439077.0,0.257
439087.0,0.269
439117.0,0.258
439127.0,0.26
439157.0,0.265
439167.0,0.261
439197.0,0.258
439207.0,0.262
439237.0,0.257
439247.0,0.263
439277.0,0.259
439287.0,0.27
439317.0,0.262
439327.0,0.263
439357.0,0.263
439367.0,0.262
439397.0,0.258
439407.0,0.265
439437.0,0.269
439477.0,0.252
439487.0,0.268
439517.0,0.257
439527.0,0.262
439557.0,0.262
439567.0,0.263
439597.0,0.259
439607.0,0.264
439637.0,0.269
439647.0,0.261
439676.0,0.262
439687.0,0.268
439717.0,0.261
439727.0,0.265
439756.0,0.273
439767.0,0.268
439797.0,0.269
439807.0,0.273
439837.0,0.27
439847.0,0.263
439876.0,0.265
439887.0,0.278
439917.0,0.268
439927.0,0.265
439957.0,0.273
439967.0,0.27
439997.0,0.263
440007.0,0.275
440037.0,0.272
440047.0,0.268
440077.0,0.267
440087.0,0.273
440117.0,0.269
440127.0,0.271
440156.0,0.271
440167.0,0.275
440197.0,0.268
440207.0,0.277
440237.0,0.271
440247.0,0.267
440276.0,0.27
440287.0,0.281
440317.0,0.266
440327.0,0.271
440357.0,0.272
440367.0,0.273
440397.0,0.265
440437.0,0.266
440447.0,0.264
440477.0,0.264
440487.0,0.267
440517.0,0.262
440527.0,0.268
440557.0,0.27
440567.0,0.268
440597.0,0.26
440607.0,0.27
440637.0,0.268
440647.0,0.262
440676.0,0.266
440687.0,0.271
440717.0,0.263
440727.0,0.27
440757.0,0.265
440797.0,0.252
440807.0,0.264
440837.0,0.262
440847.0,0.257
440877.0,0.262
440887.0,0.265
440917.0,0.26
440927.0,0.267
440957.0,0.267
440967.0,0.263
440997.0,0.261
441007.0,0.27
441037.0,0.265
441047.0,0.262
441077.0,0.263
441087.0,0.269
441117.0,0.261
441127.0,0.269
441157.0,0.267
441167.0,0.266
441197.0,0.26
441207.0,0.271
441237.0,0.265
441277.0,0.261
441287.0,0.265
441317.0,0.26
441327.0,0.264
441357.0,0.267
441367.0,0.265
441397.0,0.259
441407.0,0.267
441437.0,0.27
441447.0,0.26
441477.0,0.265
441488.0,0.269
441517.0,0.262
441527.0,0.266
441557.0,0.27
441567.0,0.266
441596.0,0.26
441607.0,0.272
441637.0,0.268
441647.0,0.263
441677.0,0.268
441687.0,0.275
441717.0,0.263
441727.0,0.268
441757.0,0.274
441767.0,0.262
441797.0,0.266
441807.0,0.273
441837.0,0.269
441847.0,0.269
441877.0,0.268
441887.0,0.275
441917.0,0.266
441927.0,0.268
441957.0,0.27
441967.0,0.266
441997.0,0.262
442037.0,0.261
442047.0,0.259
442077.0,0.26
442087.0,0.265
442117.0,0.257
442127.0,0.262
442157.0,0.272
442167.0,0.264
442197.0,0.262
442207.0,0.27
442237.0,0.266
442247.0,0.261
442317.0,0.248
442327.0,0.257
442357.0,0.254
442367.0,0.257
442397.0,0.251
442407.0,0.263
442437.0,0.257
442447.0,0.257
442477.0,0.258
442487.0,0.26
442517.0,0.257
442527.0,0.262
442557.0,0.265
442597.0,0.257
442608.0,0.26
442637.0,0.257
442647.0,0.256
442677.0,0.259
442687.0,0.26
442757.0,0.255
442767.0,0.25
442797.0,0.251
442807.0,0.262
442837.0,0.255
442847.0,0.254
442877.0,0.259
442887.0,0.263
442917.0,0.257
442957.0,0.262
442967.0,0.256
442997.0,0.255
443007.0,0.266
443037.0,0.262
443047.0,0.263
443077.0,0.26
443087.0,0.266
443117.0,0.26
443127.0,0.268
443157.0,0.272
443167.0,0.262
443197.0,0.265
443207.0,0.273
443237.0,0.268
443247.0,0.262
443277.0,0.273
443287.0,0.273
443317.0,0.269
443327.0,0.275
443397.0,0.257
443407.0,0.265
443437.0,0.259
443447.0,0.26
443477.0,0.271
443487.0,0.265
443517.0,0.263
443527.0,0.27
443557.0,0.268
443597.0,0.259
443608.0,0.268
443636.0,0.262
443647.0,0.261
443677.0,0.268
443687.0,0.269
443717.0,0.26
443727.0,0.268
443757.0,0.27
443767.0,0.268
443797.0,0.262
443807.0,0.276
443837.0,0.268
443847.0,0.268
443877.0,0.273
443887.0,0.27
443917.0,0.27
443927.0,0.275
443957.0,0.273
443967.0,0.269
443997.0,0.27
444007.0,0.276
444037.0,0.268
444047.0,0.261
444077.0,0.268
444087.0,0.271
444117.0,0.264
444127.0,0.271
444157.0,0.271
444237.0,0.245
444247.0,0.248
444277.0,0.254
444287.0,0.252
444317.0,0.251
444327.0,0.254
444357.0,0.257
444367.0,0.252
444397.0,0.251
444437.0,0.25
444448.0,0.248
444477.0,0.257
444487.0,0.25
444517.0,0.251
444527.0,0.26
444557.0,0.258
444567.0,0.254
444597.0,0.256
444637.0,0.251
444647.0,0.252
444677.0,0.256
444687.0,0.258
444717.0,0.252
444757.0,0.249
444767.0,0.251
444797.0,0.252
444807.0,0.259
444837.0,0.255
444847.0,0.258
444917.0,0.244
444927.0,0.254
444957.0,0.257
444967.0,0.25
444997.0,0.249
445007.0,0.259
445037.0,0.257
445047.0,0.256
445077.0,0.262
445087.0,0.263
445117.0,0.259
445127.0,0.265
445277.0,0.238
445317.0,0.228
445328.0,0.238
445357.0,0.239
445367.0,0.241
445397.0,0.246
445437.0,0.239
445447.0,0.246
445477.0,0.253
445487.0,0.252
445517.0,0.242
445557.0,0.246
445567.0,0.24
445597.0,0.246
445607.0,0.253
445637.0,0.245
445647.0,0.251
445677.0,0.258
445687.0,0.251
445717.0,0.249
445727.0,0.263
445757.0,0.257
445768.0,0.251
445797.0,0.257
445807.0,0.26
445837.0,0.254
445847.0,0.261
445877.0,0.262
445887.0,0.26
445917.0,0.256
445927.0,0.269
445957.0,0.269
445967.0,0.26
445997.0,0.263
446007.0,0.269
446037.0,0.257
446047.0,0.266
446077.0,0.264
446117.0,0.251
446127.0,0.266
446157.0,0.26
446167.0,0.26
446197.0,0.257
446207.0,0.268
446237.0,0.258
446247.0,0.262
446277.0,0.264
446287.0,0.26
446317.0,0.256
446327.0,0.268
446357.0,0.265
446397.0,0.264
446407.0,0.265
446437.0,0.257
446447.0,0.262
446477.0,0.261
446517.0,0.253
446527.0,0.26
446557.0,0.257
446567.0,0.257
446597.0,0.254
446607.0,0.265
446637.0,0.254
446647.0,0.265
446677.0,0.267
446687.0,0.258
446717.0,0.254
446727.0,0.268
446757.0,0.262
446767.0,0.262
446797.0,0.265
446807.0,0.27
446837.0,0.264
446847.0,0.265
446877.0,0.269
446887.0,0.265
446957.0,0.258
446967.0,0.255
446997.0,0.261
447007.0,0.26
447037.0,0.262
447047.0,0.262
447077.0,0.27
447087.0,0.266
447117.0,0.259
447127.0,0.269
447157.0,0.264
447167.0,0.265
447197.0,0.269
447207.0,0.27
447237.0,0.262
447247.0,0.27
447277.0,0.273
447287.0,0.271
447317.0,0.268
447327.0,0.277
447357.0,0.269
447367.0,0.268
447397.0,0.27
447407.0,0.268
447437.0,0.266
447447.0,0.273
447477.0,0.273
447487.0,0.265
447517.0,0.264
447527.0,0.268
447557.0,0.264
447597.0,0.26
447608.0,0.266
447637.0,0.258
447647.0,0.269
447717.0,0.249
447727.0,0.256
447757.0,0.254
447767.0,0.251
447797.0,0.252
447808.0,0.26
447837.0,0.252
447847.0,0.261
447877.0,0.262
447887.0,0.257
447917.0,0.26
447927.0,0.268
447957.0,0.257
447967.0,0.263
447997.0,0.258
448007.0,0.262
448037.0,0.257
448047.0,0.268
448077.0,0.265
448087.0,0.26
448117.0,0.26
448127.0,0.269
448157.0,0.26
448167.0,0.263
448197.0,0.264
448207.0,0.263
448237.0,0.26
448247.0,0.268
448277.0,0.264
448287.0,0.269
448317.0,0.264
448327.0,0.268
448357.0,0.261
448367.0,0.262
448397.0,0.265
448437.0,0.256
448447.0,0.262
448477.0,0.261
448487.0,0.256
448517.0,0.256
448527.0,0.262
448557.0,0.258
448567.0,0.26
