,precision_J,recall_J,fscore_J,precision_K,recall_K,fscore_K,precision_L,recall_L,fscore_L,precision_M,recall_M,fscore_M,precision_N,recall_N,fscore_N,precision_W,recall_W,fscore_W,accuracy
0,0.647923631530189,0.8846238451385834,0.7479946990304805,0.0,0.0,0.0,0.7277734644846158,0.7017956517638182,0.714548526600422,0.5504450815857814,0.7824372507473578,0.6462516996072508,0.0,0.0,0.0,0.0,0.0,0.0,0.626041863208046
0,0.5723432820406898,0.9612349319226433,0.7174806615529016,0.0,0.0,0.0,0.9240108480150652,0.7001349012357154,0.7966430895924058,0.7037916479794784,0.9404978953293957,0.8051070644688373,0.0,0.0,0.0,0.0,0.0,0.0,0.7831579289978606
0,0.4184097567622811,0.47886774797255144,0.44660194174757284,0.16090509113764928,0.14027397260273972,0.14988290398126464,0.870592793490895,0.8624363960697158,0.8664954009838901,0.8621315728085486,0.8966647179187373,0.8790591242622542,0.0,0.0,0.0,0.0,0.0,0.0,0.8504235150667381
0,0.6819691345966009,0.8806020348103927,0.7686605504587156,0.3911042944785276,0.1577970297029703,0.22486772486772486,0.8072576203439974,0.7471511465324385,0.7760422733578304,0.7630515885274339,0.8473451444192883,0.8029922630270719,0.0,0.0,0.0,0.0,0.0,0.0,0.7783557982096775
0,0.7981194690265486,0.7546413318225399,0.7757716948165405,0.4975093399750934,0.10336351875808539,0.17116538131962297,0.6677475132739227,0.8573314317626913,0.7507557998544985,0.7834068410204932,0.7196950868564252,0.7502006936928491,0.0,0.0,0.0,0.0,0.0,0.0,0.7265910132725867
0,0.6164208051719071,0.7957211137243001,0.6946880381507484,0.2897634584013051,0.07139985931062205,0.11456905587357898,0.7919289808168652,0.754972731848236,0.7730094047759813,0.7044673039874959,0.8369164599270635,0.7650012877912455,0.0,0.0,0.0,0.0,0.0,0.0,0.7381113690784364
