,resistance,voltage,current,time,pre_rect,post_rect,labels
0,8,75,DC,0.0,-0.057373046875,5.594482421875,NP
1,8,75,DC,0.01,-0.0390625,5.601806640625,NP
2,8,75,DC,0.02,-0.0244140625,5.60791015625,NP
3,8,75,DC,0.03,-0.018310546875,5.61767578125,NP
4,8,75,DC,0.04,-0.025634765625,5.6201171875,NP
5,8,75,DC,0.05,-0.037841796875,5.62255859375,NP
6,8,75,DC,0.06,-0.0439453125,5.621337890625,NP
7,8,75,DC,0.07,-0.045166015625,5.623779296875,NP
8,8,75,DC,0.08,-0.04638671875,5.623779296875,NP
9,8,75,DC,0.09,-0.04150390625,5.621337890625,NP
10,8,75,DC,0.1,-0.025634765625,5.621337890625,NP
11,8,75,DC,0.11,-0.006103515625,5.6298828125,NP
12,8,75,DC,0.12,-0.00244140625,5.635986328125,NP
13,8,75,DC,0.13,-0.013427734375,5.638427734375,NP
14,8,75,DC,0.14,-0.03662109375,5.634765625,NP
15,8,75,DC,0.15,-0.067138671875,5.623779296875,NP
16,8,75,DC,0.16,-0.081787109375,5.61279296875,NP
17,8,75,DC,0.17,-0.08056640625,5.601806640625,NP
18,8,75,DC,0.18,-0.076904296875,5.595703125,NP
19,8,75,DC,0.19,-0.074462890625,5.5908203125,NP
20,8,75,DC,0.2,-0.076904296875,5.584716796875,NP
21,8,75,DC,0.21,-0.0927734375,5.57861328125,NP
22,8,75,DC,0.22,-0.140380859375,5.557861328125,NP
23,8,75,DC,0.23,-0.194091796875,5.52734375,NP
24,8,75,DC,0.24,-0.22705078125,5.494384765625,NP
25,8,75,DC,0.25,-0.238037109375,5.469970703125,NP
26,8,75,DC,0.26,-0.228271484375,5.458984375,NP
27,8,75,DC,0.27,-0.18798828125,5.460205078125,NP
28,8,75,DC,0.28,-0.150146484375,5.474853515625,NP
29,8,75,DC,0.29,-0.12939453125,5.4931640625,NP
30,8,75,DC,0.3,-0.125732421875,5.50537109375,NP
31,8,75,DC,0.31,-0.1318359375,5.511474609375,NP
32,8,75,DC,0.32,-0.140380859375,5.513916015625,NP
33,8,75,DC,0.33,-0.14404296875,5.516357421875,NP
34,8,75,DC,0.34,-0.13671875,5.521240234375,NP
35,8,75,DC,0.35000000000000003,-0.123291015625,5.5322265625,NP
36,8,75,DC,0.36,-0.11962890625,5.53955078125,NP
37,8,75,DC,0.37,-0.12451171875,5.53955078125,NP
38,8,75,DC,0.38,-0.135498046875,5.533447265625,NP
39,8,75,DC,0.39,-0.13916015625,5.523681640625,NP
40,8,75,DC,0.4,-0.135498046875,5.518798828125,NP
41,8,75,DC,0.41000000000000003,-0.1318359375,5.518798828125,NP
42,8,75,DC,0.42,-0.133056640625,5.523681640625,NP
43,8,75,DC,0.43,-0.1416015625,5.526123046875,NP
44,8,75,DC,0.44,-0.1513671875,5.52734375,NP
45,8,75,DC,0.45,-0.15380859375,5.5224609375,NP
46,8,75,DC,0.46,-0.1513671875,5.517578125,NP
47,8,75,DC,0.47000000000000003,-0.137939453125,5.516357421875,NP
48,8,75,DC,0.48,-0.12939453125,5.517578125,NP
49,8,75,DC,0.49,-0.12939453125,5.518798828125,NP
50,8,75,DC,0.5,-0.13916015625,5.517578125,NP
51,8,75,DC,0.51,-0.157470703125,5.513916015625,NP
52,8,75,DC,0.52,-0.1708984375,5.506591796875,NP
53,8,75,DC,0.53,-0.17822265625,5.5029296875,NP
54,8,75,DC,0.54,-0.174560546875,5.499267578125,NP
55,8,75,DC,0.55,-0.169677734375,5.49560546875,NP
56,8,75,DC,0.56,-0.162353515625,5.49560546875,NP
57,8,75,DC,0.5700000000000001,-0.1513671875,5.49560546875,NP
58,8,75,DC,0.58,-0.147705078125,5.496826171875,NP
59,8,75,DC,0.59,-0.1416015625,5.50048828125,NP
60,8,75,DC,0.6,-0.14404296875,5.506591796875,NP
61,8,75,DC,0.61,-0.14404296875,5.5126953125,NP
62,8,75,DC,0.62,-0.137939453125,5.518798828125,NP
63,8,75,DC,0.63,-0.133056640625,5.526123046875,NP
64,8,75,DC,0.64,-0.120849609375,5.531005859375,NP
