,insectno,waveform,dur,tbf,labels,probes
0,a01,N,3388.48,3388.48,,
1,a01,P,11.52,3400.0,,
2,a01,Z,14.72,3414.72,,
3,a01,P,17.28,3432.0,,
4,a01,B2,4.48,3436.48,,
5,a01,P,1.28,3437.76,,
6,a01,Z,7.68,3445.44,,
7,a01,P,17.28,3462.72,,
8,a01,B2,5.12,3467.84,,
9,a01,P,28.16,3496.0,,
10,a01,B2,5.12,3501.12,,
11,a01,P,2.56,3503.68,,
12,a01,Z,3822.08,7325.76,,
13,a01,P,19.84,7345.6,,
14,a01,B2,2.56,7348.16,,
15,a01,P,23.68,7371.84,,
16,a01,B2,5.12,7376.96,,
17,a01,P,36.48,7413.44,,
18,a01,B2,4.48,7417.92,,
19,a01,P,26.24,7444.16,,
20,a01,B2,3.84,7448.0,,
21,a01,P,30.08,7478.08,,
22,a01,Z,7.68,7485.76,,
23,a01,P,14.72,7500.48,,
24,a01,B2,3.84,7504.32,,
25,a01,P,16.0,7520.32,,
26,a01,C,2.56,7522.88,,
27,a01,D,33.92,7556.8,,
28,a01,C,0.64,7557.44,,
29,a01,F2,1.28,7558.72,,
30,a01,B,2.56,7561.28,,
31,a01,C,3.2,7564.48,,
32,a01,D,67.2,7631.68,,
33,a01,F2,3.84,7635.52,,
34,a01,B,1.28,7636.8,,
35,a01,C,1.28,7638.08,,
36,a01,D,72.32,7710.4,,
37,a01,F2,1.47,7711.87,,
38,a01,B,1.95,7713.82,,
39,a01,C,2.46,7716.28,,
40,a01,D,41.48,7757.76,,
41,a01,F2,1.92,7759.68,,
42,a01,B,1.28,7760.96,,
43,a01,C,0.64,7761.6,,
44,a01,D,186.24,7947.84,,
45,a01,C,0.64,7948.48,,
46,a01,F2,1.92,7950.4,,
47,a01,B,0.64,7951.04,,
48,a01,C,0.64,7951.68,,
49,a01,D,55.04,8006.72,,
50,a01,B,1.28,8008.0,,
51,a01,C,0.64,8008.64,,
52,a01,D,25.6,8034.24,,
53,a01,C,0.64,8034.88,,
54,a01,F2,1.28,8036.16,,
55,a01,B,0.64,8036.8,,
56,a01,C,0.64,8037.44,,
57,a01,D,145.92,8183.36,,
58,a01,C,0.64,8184.0,,
59,a01,F2,1.06,8185.06,,
60,a01,B,1.5,8186.56,,
61,a01,C,0.64,8187.2,,
62,a01,D,30.72,8217.92,,
63,a01,F2,1.28,8219.2,,
64,a01,C,1.28,8220.48,,
65,a01,D,111.36,8331.84,,
66,a01,F2,1.28,8333.12,,
67,a01,C,0.64,8333.76,,
68,a01,D,105.6,8439.36,,
69,a01,F2,1.06,8440.42,,
70,a01,FB,1.41,8441.83,,
71,a01,C,0.73,8442.56,,
72,a01,D,76.16,8518.72,,
73,a01,F2,1.92,8520.64,,
74,a01,C,0.64,8521.28,,
75,a01,D,600.96,9122.24,,
76,a01,F2,1.28,9123.52,,
77,a01,B,5.76,9129.28,,
78,a01,C,0.64,9129.92,,
79,a01,D,337.92,9467.84,,
80,a01,C,0.32,9468.16,,
81,a01,F2,2.56,9470.72,,
82,a01,B,1.64,9472.36,,
83,a01,C,0.64,9473.0,,
84,a01,D,139.52,9612.52,,
85,a01,B,6.4,9618.92,,
86,a01,C,1.28,9620.2,,
87,a01,D,167.04,9787.24,,
88,a01,B,1.92,9789.16,,
89,a01,Z,19.2,9808.36,,
90,a01,P,12.48,9820.84,,
91,a01,C,1.28,9822.12,,
92,a01,D,46.4,9868.52,,
93,a01,C,0.64,9869.16,,
94,a01,F2,1.45,9870.61,,
95,a01,B,5.01,9875.62,,
96,a01,C,3.78,9879.4,,
97,a01,D,133.76,10013.16,,
98,a01,C,0.64,10013.8,,
99,a01,F2,2.56,10016.36,,
100,a01,B,0.64,10017.0,,
101,a01,C,1.28,10018.28,,
102,a01,D,639.36,10657.64,,
103,a01,F2,3.2,10660.84,,
104,a01,B,2.56,10663.4,,
105,a01,C,1.28,10664.68,,
106,a01,D,621.92,11286.6,,
107,a01,C,0.28,11286.88,,
108,a01,F2,3.2,11290.08,,
109,a01,B,2.56,11292.64,,
110,a01,C,1.92,11294.56,,
111,a01,D,237.12,11531.68,,
112,a01,Z,220.16,11751.84,,
113,a01,P,48.64,11800.48,,
114,a01,Z,660.0,12460.48,,
115,a01,P,1.28,12461.76,,
116,a01,B,25.6,12487.36,,
117,a01,B2,3.84,12491.2,,
118,a01,Z,12.8,12504.0,,
119,a01,P,18.56,12522.56,,
120,a01,C,0.64,12523.2,,
121,a01,D,50.56,12573.76,,
122,a01,F2,1.92,12575.68,,
123,a01,B,2.56,12578.24,,
124,a01,C,1.28,12579.52,,
125,a01,D,59.03,12638.55,,
126,a01,F1,0.991,12639.541,,
127,a01,F2,1.769,12641.31,,
128,a01,B,5.41,12646.72,,
129,a01,C,0.64,12647.36,,
130,a01,D,24.32,12671.68,,
131,a01,C,0.64,12672.32,,
132,a01,D,49.92,12722.24,,
133,a01,F2,2.56,12724.8,,
134,a01,B,1.92,12726.72,,
135,a01,C,0.64,12727.36,,
136,a01,D,85.76,12813.12,,
137,a01,FB,3.2,12816.32,,
138,a01,D,153.92,12970.24,,
139,a01,F2,1.92,12972.16,,
140,a01,FB,1.28,12973.44,,
141,a01,C,0.64,12974.08,,
142,a01,D,300.64,13274.72,,
143,a01,C,0.64,13275.36,,
144,a01,F2,1.92,13277.28,,
145,a01,B,4.48,13281.76,,
146,a01,C,0.64,13282.4,,
147,a01,D,321.44,13603.84,,
148,a01,F2,2.56,13606.4,,
149,a01,FB,4.48,13610.88,,
150,a01,F1,0.66,13611.54,,
151,a01,D,208.62,13820.16,,
152,a01,F2,0.05,13820.21,,
153,a01,FB,5.59,13825.8,,
154,a01,C,1.4,13827.2,,
155,a01,D,186.88,14014.08,,
156,a01,B,17.92,14032.0,,
157,a01,C,1.28,14033.28,,
158,a01,D,20.48,14053.76,,
159,a01,B,7.68,14061.44,,
160,a01,Z,306.72,14368.16,,
161,a01,P,3.2,14371.36,,
162,a01,Z,2.56,14373.92,,
163,a01,P,40.32,14414.24,,
164,a01,B2,2.56,14416.8,,
165,a01,B,106.24,14523.04,,
166,a01,G,410.88,14933.92,,
167,a01,B,8.96,14942.88,,
168,a01,Z,40.32,14983.2,,
169,a01,P,37.1,15020.3,,
170,a01,G,63.36,15083.66,,
171,a01,D,579.52,15663.18,,
172,a01,B,1.5,15664.68,,
173,a01,Z,120.0,15784.68,,
174,a01,P,23.68,15808.36,,
175,a01,B2,3.2,15811.56,,
176,a01,B,39.68,15851.24,,
177,a01,D,7.68,15858.92,,
178,a01,G,200.32,16059.24,,
179,a01,Z,1.28,16060.52,,
180,a01,P,21.76,16082.28,,
181,a01,Z,6398.08,22480.36,,
182,a01,P,54.4,22534.76,,
183,a01,Z,7.68,22542.44,,
184,a01,P,21.12,22563.56,,
185,a01,B2,1.92,22565.48,,
186,a01,B,108.8,22674.28,,
187,a01,Z,62.08,22736.36,,
188,a01,P,21.76,22758.12,,
189,a01,B2,3.84,22761.96,,
190,a01,B,12.8,22774.76,,
191,a01,Z,29.44,22804.2,,
192,a01,P,21.76,22825.96,,
193,a01,B2,4.48,22830.44,,
194,a01,B,124.16,22954.6,,
195,a01,B2,3.84,22958.44,,
196,a01,B,41.6,23000.04,,
197,a01,B2,1.92,23001.96,,
198,a01,B,16.0,23017.96,,
199,a01,C,2.56,23020.52,,
200,a01,F2,1.28,23021.8,,
201,a01,B,3.2,23025.0,,
202,a01,C,1.92,23026.92,,
203,a01,D,3.84,23030.76,,
204,a01,C,1.28,23032.04,,
205,a01,D,32.68,23064.72,,
206,a01,F1,0.48,23065.2,,
207,a01,F2,2.85,23068.05,,
208,a01,B,1.75,23069.8,,
209,a01,C,3.84,23073.64,,
210,a01,D,18.56,23092.2,,
211,a01,C,1.92,23094.12,,
212,a01,F2,3.2,23097.32,,
213,a01,B,5.12,23102.44,,
214,a01,FB,1.28,23103.72,,
215,a01,B,2.56,23106.28,,
216,a01,D,10.88,23117.16,,
217,a01,C,1.28,23118.44,,
218,a01,B,147.2,23265.64,,
219,a01,G,353.92,23619.56,,
220,a01,B,346.24,23965.8,,
221,a01,Z,19.84,23985.64,,
222,a01,P,61.44,24047.08,,
223,a01,Z,87.04,24134.12,,
224,a01,P,1.92,24136.04,,
225,a01,B,56.32,24192.36,,
226,a01,Z,133.12,24325.48,,
227,a01,P,265.6,24591.08,,
228,a01,Z,14.72,24605.8,,
229,a01,P,23.68,24629.48,,
230,a01,Z,15.36,24644.84,,
231,a01,P,79.36,24724.2,,
232,a01,Z,5.76,24729.96,,
233,a01,P,48.64,24778.6,,
234,a01,Z,4.48,24783.08,,
235,a01,P,0.64,24783.72,,
236,a01,B,284.16,25067.88,,
237,a01,Z,122.88,25190.76,,
238,a01,P,60.5,25251.26,,
239,a01,Z,10706.56,35957.82,,
240,a02,N,21433.6,21433.6,,
241,a02,P,14.72,21448.32,,
242,a02,Z,115.2,21563.52,,
243,a02,P,21.76,21585.28,,
244,a02,B2,2.56,21587.84,,
245,a02,B,68.48,21656.32,,
246,a02,Z,42.24,21698.56,,
247,a02,P,5.76,21704.32,,
248,a02,Z,30.08,21734.4,,
249,a02,P,9.6,21744.0,,
250,a02,Z,5.12,21749.12,,
251,a02,P,20.48,21769.6,,
252,a02,Z,78.44,21848.04,,
253,a02,P,12.16,21860.2,,
254,a02,B2,3.84,21864.04,,
255,a02,B,21.76,21885.8,,
256,a02,B2,4.48,21890.28,,
257,a02,B,7.68,21897.96,,
258,a02,C,1.92,21899.88,,
259,a02,D,39.68,21939.56,,
260,a02,C,1.28,21940.84,,
261,a02,F2,5.12,21945.96,,
262,a02,B,3.2,21949.16,,
263,a02,C,1.92,21951.08,,
264,a02,D,42.88,21993.96,,
265,a02,C,0.64,21994.6,,
266,a02,F2,4.48,21999.08,,
267,a02,C,1.92,22001.0,,
268,a02,D,93.37,22094.37,,
269,a02,F1,4.17,22098.54,,
270,a02,F2,1.44,22099.98,,
271,a02,F3,5.98,22105.96,,
272,a02,F4,3.2,22109.16,,
273,a02,B,7.04,22116.2,,
274,a02,C,3.2,22119.4,,
275,a02,B,1.92,22121.32,,
276,a02,C,2.56,22123.88,,
277,a02,D,17.28,22141.16,,
278,a02,C,0.64,22141.8,,
279,a02,F2,1.92,22143.72,,
280,a02,B,10.88,22154.6,,
281,a02,FB,11.41,22166.01,,
282,a02,C,0.57,22166.58,,
283,a02,FB,4.05,22170.63,,
284,a02,D,169.57,22340.2,,
285,a02,C,1.28,22341.48,,
286,a02,F2,3.63,22345.11,,
287,a02,B,3.41,22348.52,,
288,a02,C,3.2,22351.72,,
289,a02,D,467.84,22819.56,,
290,a02,F2,5.07,22824.63,,
291,a02,B,2.61,22827.24,,
292,a02,C,0.64,22827.88,,
293,a02,D,375.04,23202.92,,
294,a02,C,0.64,23203.56,,
295,a02,F2,3.84,23207.4,,
296,a02,B,6.4,23213.8,,
297,a02,C,3.84,23217.64,,
298,a02,D,455.68,23673.32,,
299,a02,C,0.64,23673.96,,
300,a02,F2,6.4,23680.36,,
301,a02,B,0.64,23681.0,,
302,a02,F1,1.28,23682.28,,
303,a02,D,702.08,24384.36,,
304,a02,C,0.64,24385.0,,
305,a02,F2,3.84,24388.84,,
306,a02,FB,1.28,24390.12,,
307,a02,C,1.28,24391.4,,
308,a02,D,1182.08,25573.48,,
309,a02,C,0.64,25574.12,,
310,a02,F2,3.58,25577.7,,
311,a02,FB,2.1,25579.8,,
312,a02,C,1.36,25581.16,,
313,a02,D,842.24,26423.4,,
314,a02,F2,3.36,26426.76,,
315,a02,B,3.04,26429.8,,
316,a02,C,1.28,26431.08,,
317,a02,D,844.8,27275.88,,
318,a02,C,0.64,27276.52,,
319,a02,F2,5.09,27281.61,,
320,a02,FB,1.29,27282.9,,
321,a02,C,1.3,27284.2,,
322,a02,D,741.76,28025.96,,
323,a02,C,0.64,28026.6,,
324,a02,B,1.92,28028.52,,
325,a02,F2,5.12,28033.64,,
326,a02,B,1.28,28034.92,,
327,a02,C,2.56,28037.48,,
328,a02,D,799.36,28836.84,,
329,a02,C,0.64,28837.48,,
330,a02,F2,5.12,28842.6,,
331,a02,B,17.34,28859.94,,
332,a02,C,1.02,28860.96,,
333,a02,D,608.84,29469.8,,
334,a02,F2,4.06,29473.86,,
335,a02,B,2.28,29476.14,,
336,a02,C,1.98,29478.12,,
337,a02,D,792.32,30270.44,,
338,a02,F2,3.84,30274.28,,
339,a02,B,4.9,30279.18,,
340,a02,C,2.14,30281.32,,
341,a02,D,810.88,31092.2,,
342,a02,C,0.64,31092.84,,
343,a02,F2,5.12,31097.96,,
344,a02,FB,0.22,31098.18,,
345,a02,C,2.98,31101.16,,
346,a02,D,1116.16,32217.32,,
347,a02,C,0.64,32217.96,,
348,a02,F2,4.48,32222.44,,
349,a02,FB,1130.59,33353.03,,
350,a02,C,1.08,33354.11,,
351,a02,D,1330.41,34684.52,,
352,a02,F2,5.12,34689.64,,
353,a02,B,6.55,34696.19,,
354,a02,C,1.13,34697.32,,
355,a02,D,1267.84,35965.16,,
356,a02,F2,6.06,35971.22,,
357,a02,B,5.4,35976.62,,
358,a02,C,3.9,35980.52,,
359,a02,D,586.24,36566.76,,
360,a02,C,5.7,36572.46,,
361,a02,F2,6.96,36579.42,,
362,a02,B,3.84,36583.26,,
363,a02,C,8.94,36592.2,,
364,a02,D,425.76,37017.96,,
365,a02,F2,11.4,37029.36,,
366,a02,B,15.6,37044.96,,
367,a02,C,2.1,37047.06,,
368,a02,FB,1.05,37048.11,,
369,a02,C,3.69,37051.8,,
370,a02,D,957.0,38008.8,,
371,a03,N,10698.5,10698.5,,
372,a03,P,23.68,10722.18,,
373,a03,Z,10851.52,21573.7,,
374,a03,P,23.04,21596.74,,
375,a03,Z,9024.76,30621.5,,
376,a03,P,35.84,30657.34,,
377,a03,B2,3.84,30661.18,,
378,a03,B,23.04,30684.22,,
379,a03,B2,5.76,30689.98,,
380,a03,B,26.24,30716.22,,
381,a03,Z,12.16,30728.38,,
382,a03,P,1.92,30730.3,,
383,a03,B,43.52,30773.82,,
384,a03,B2,3.2,30777.02,,
385,a03,B,2.56,30779.58,,
386,a03,Z,64.0,30843.58,,
387,a03,P,1.92,30845.5,,
388,a03,B,16.76,30862.26,,
389,a03,G,62.31,30924.57,,
390,a03,Z,13.65,30938.22,,
391,a03,B,19.38,30957.6,,
392,a03,C,2.46,30960.06,,
393,a03,D,27.52,30987.58,,
394,a03,F2,5.76,30993.34,,
395,a03,B,2.48,30995.82,,
396,a03,C,6.18,31002.0,,
397,a03,D,64.3,31066.3,,
398,a03,F2,2.56,31068.86,,
399,a03,B,1.92,31070.78,,
400,a03,C,1.92,31072.7,,
401,a03,D,89.53,31162.23,,
402,a03,F2,0.07,31162.3,,
403,a03,B,3.84,31166.14,,
404,a03,C,5.39,31171.53,,
405,a03,D,90.03,31261.56,,
406,a03,C,6.2,31267.76,,
407,a03,D,28.77,31296.53,,
408,a03,C,3.15,31299.68,,
409,a03,D,25.8,31325.48,,
410,a03,F2,4.77,31330.25,,
411,a03,B,2.79,31333.04,,
412,a03,C,5.43,31338.47,,
413,a03,D,6.72,31345.19,,
414,a03,B,1.38,31346.57,,
415,a03,D,138.12,31484.69,,
416,a03,F2,3.18,31487.87,,
417,a03,B,2.37,31490.24,,
418,a03,C,1.71,31491.95,,
419,a03,D,36.48,31528.43,,
420,a03,C,2.31,31530.74,,
421,a03,D,189.18,31719.92,,
422,a03,F2,3.51,31723.43,,
423,a03,B,5.34,31728.77,,
424,a03,C,2.61,31731.38,,
425,a03,D,15.09,31746.47,,
426,a03,C,2.16,31748.63,,
427,a03,D,578.64,32327.27,,
428,a03,F2,3.03,32330.3,,
429,a03,B,4.89,32335.19,,
430,a03,C,2.25,32337.44,,
431,a03,D,5.13,32342.57,,
432,a03,C,3.0,32345.57,,
433,a03,D,23.64,32369.21,,
434,a03,C,2.91,32372.12,,
435,a03,D,872.91,33245.03,,
436,a03,C,0.93,33245.96,,
437,a03,F2,2.22,33248.18,,
438,a03,B,6.3,33254.48,,
439,a03,C,1.2,33255.68,,
440,a03,D,627.72,33883.4,,
441,a03,F2,2.82,33886.22,,
442,a03,B,7.35,33893.57,,
443,a03,C,1.35,33894.92,,
444,a03,D,12.48,33907.4,,
445,a03,C,1.5,33908.9,,
446,a03,D,593.85,34502.75,,
447,a03,F2,4.29,34507.04,,
448,a03,B,9.9,34516.94,,
449,a03,C,1.98,34518.92,,
450,a03,D,15.36,34534.28,,
451,a03,C,3.39,34537.67,,
452,a03,D,676.14,35213.81,,
453,a03,F2,2.55,35216.36,,
454,a03,B,10.17,35226.53,,
455,a03,C,2.31,35228.84,,
456,a03,D,8.79,35237.63,,
457,a03,C,2.13,35239.76,,
458,a03,D,717.06,35956.82,,
459,a03,F2,3.54,35960.36,,
460,a03,FB,5.19,35965.55,,
461,a03,C,2.37,35967.92,,
462,a03,FB,1.47,35969.39,,
463,a03,C,2.16,35971.55,,
464,a03,D,1362.36,37333.91,,
465,a03,F2,2.31,37336.22,,
466,a03,FB,6.09,37342.31,,
467,a03,C,5.46,37347.77,,
468,a03,D,661.62,38009.39,,
469,a03,F2,1.47,38010.86,,
470,a03,B,8.16,38019.02,,
471,a03,C,2.01,38021.03,,
472,a03,B,0.96,38021.99,,
473,a03,C,1.17,38023.16,,
474,a03,D,7.35,38030.51,,
475,a03,B,1.2,38031.71,,
476,a03,C,2.04,38033.75,,
477,a03,D,460.98,38494.73,,
478,a03,F2,2.55,38497.28,,
479,a03,B,12.3,38509.58,,
480,a03,C,1.47,38511.05,,
481,a03,D,489.54,39000.59,,
482,a03,G,522.75,39523.34,,
483,a04,N,1912.87,1912.87,,
484,a04,P,40.89,1953.76,,
485,a04,B2,3.93,1957.69,,
486,a04,P,57.51,2015.2,,
487,a04,C,0.3,2015.5,,
488,a04,D,5.91,2021.41,,
489,a04,C,47.25,2068.66,,
490,a04,F2,2.97,2071.63,,
491,a04,D,181.59,2253.22,,
492,a04,C,7.11,2260.33,,
493,a04,D,2108.19,4368.52,,
494,a04,F2,2.97,4371.49,,
495,a04,B,34.83,4406.32,,
496,a04,C,6.66,4412.98,,
497,a04,D,152.55,4565.53,,
498,a04,G,282.9,4848.43,,
499,a04,D,4.44,4852.87,,
500,a04,G,392.79,5245.66,,
501,a04,DG,533.7,5779.36,,
502,a04,F2,2.31,5781.67,,
503,a04,G,24.24,5805.91,,
504,a04,Z,9767.58,15573.49,,
505,a04,P,274.5,15847.99,,
506,a04,G,52.86,15900.85,,
507,a04,P,55.77,15956.62,,
508,a04,Z,1412.28,17368.9,,
509,a04,P,114.66,17483.56,,
510,a04,G,18.99,17502.55,,
511,a04,P,13.86,17516.41,,
512,a04,Z,18484.47,36000.88,,
513,a05,N,36000.88,36000.88,,
514,a06,N,36000.06,36000.06,,
515,a07,N,14456.25,14456.25,,
516,a07,P,248.52,14704.77,,
517,a07,Z,19853.07,34557.84,,
518,a07,P,55.32,34613.16,,
519,a07,Z,1386.84,36000.0,,
520,a09,N,413.79,413.79,,
521,a09,P,45.81,459.6,,
522,a09,DG,489.48,949.08,,
523,a09,G,1414.44,2363.52,,
524,a09,P,8.07,2371.59,,
525,a09,Z,1436.22,3807.81,,
526,a09,G,20.58,3828.39,,
527,a09,Z,7209.0,11037.39,,
528,a09,G,137.67,11175.06,,
529,a09,Z,1848.84,13023.9,,
530,a09,G,38.46,13062.36,,
531,a09,Z,22937.7,36000.06,,
532,a10,N,288.52,288.52,,
533,a10,P,25.59,314.11,,
534,a10,Z,829.83,1143.94,,
535,a10,P,331.53,1475.47,,
536,a10,Z,672.96,2148.43,,
537,a10,P,24.45,2172.88,,
538,a10,Z,76.38,2249.26,,
539,a10,P,13.98,2263.24,,
540,a10,C,11.94,2275.18,,
541,a10,D,5.79,2280.97,,
542,a10,C,4.92,2285.89,,
543,a10,D,29.94,2315.83,,
544,a10,F2,4.26,2320.09,,
545,a10,B,2.58,2322.67,,
546,a10,D,41.31,2363.98,,
547,a10,B,3.87,2367.85,,
548,a10,D,38.58,2406.43,,
549,a10,F2,2.55,2408.98,,
550,a10,FB,4.59,2413.57,,
551,a10,C,0.75,2414.32,,
552,a10,D,119.88,2534.2,,
553,a10,C,1.44,2535.64,,
554,a10,DG,100.92,2636.56,,
555,a10,C,1.59,2638.15,,
556,a10,DG,143.91,2782.06,,
557,a10,F2,3.09,2785.15,,
558,a10,B,10.92,2796.07,,
559,a10,D,42.03,2838.1,,
560,a10,C,2.34,2840.44,,
561,a10,D,40.26,2880.7,,
562,a10,C,1.8,2882.5,,
563,a10,D,45.81,2928.31,,
564,a10,C,2.01,2930.32,,
565,a10,D,58.5,2988.82,,
566,a10,F2,1.95,2990.77,,
567,a10,C,2.64,2993.41,,
568,a10,D,71.01,3064.42,,
569,a10,Z,2022.36,5086.78,,
570,a10,P,34.14,5120.92,,
571,a10,C,1.56,5122.48,,
572,a10,F2,3.09,5125.57,,
573,a10,B,4.74,5130.31,,
574,a10,C,10.02,5140.33,,
575,a10,D,5.49,5145.82,,
576,a10,C,2.97,5148.79,,
577,a10,D,46.56,5195.35,,
578,a10,F2,3.39,5198.74,,
579,a10,B,2.1,5200.84,,
580,a10,C,3.72,5204.56,,
581,a10,D,82.59,5287.15,,
582,a10,F2,2.28,5289.43,,
583,a10,B,6.06,5295.49,,
584,a10,C,1.41,5296.9,,
585,a10,G,428.43,5725.33,,
586,a10,C,1.86,5727.19,,
587,a10,G,227.46,5954.65,,
588,a10,C,1.74,5956.39,,
589,a10,D,172.62,6129.01,,
590,a10,F2,2.49,6131.5,,
591,a10,B,4.44,6135.94,,
592,a10,C,11.55,6147.49,,
593,a10,D,3.18,6150.67,,
594,a10,B,1.05,6151.72,,
595,a10,C,1.2,6152.92,,
596,a10,D,302.16,6455.08,,
597,a10,P,3.12,6458.2,,
598,a10,Z,4703.19,11161.39,,
599,a10,P,57.93,11219.32,,
600,a10,D,6.63,11225.95,,
601,a10,C,59.16,11285.11,,
602,a10,F2,4.8,11289.91,,
603,a10,B,16.14,11306.05,,
604,a10,C,122.19,11428.24,,
605,a10,F2,2.13,11430.37,,
606,a10,B,26.7,11457.07,,
607,a10,G,356.25,11813.32,,
608,a10,CG,162.48,11975.8,,
609,a10,F2,1.74,11977.54,,
610,a10,B,17.04,11994.58,,
611,a10,CG,390.45,12385.03,,
612,a10,Z,2315.13,14700.16,,
613,a10,P,151.2,14851.36,,
614,a10,B2,3.09,14854.45,,
615,a10,P,26.25,14880.7,,
616,a10,Z,60.12,14940.82,,
617,a10,P,42.87,14983.69,,
618,a10,B2,3.12,14986.81,,
619,a10,P,20.49,15007.3,,
620,a10,B2,4.95,15012.25,,
621,a10,P,25.2,15037.45,,
622,a10,B2,6.69,15044.14,,
623,a10,P,18.21,15062.35,,
624,a10,B2,4.47,15066.82,,
625,a10,P,94.68,15161.5,,
626,a10,Z,97.2,15258.7,,
627,a10,P,25.98,15284.68,,
628,a10,B2,2.52,15287.2,,
629,a10,P,18.84,15306.04,,
630,a10,B2,4.59,15310.63,,
631,a10,P,16.23,15326.86,,
632,a10,C,8.19,15335.05,,
633,a10,D,5.01,15340.06,,
634,a10,F1,2.61,15342.67,,
635,a10,FB,3.99,15346.66,,
636,a10,B,13.53,15360.19,,
637,a10,C,6.69,15366.88,,
638,a10,D,41.85,15408.73,,
639,a10,F2,1.62,15410.35,,
640,a10,FB,2.13,15412.48,,
641,a10,B,1.62,15414.1,,
642,a10,C,7.11,15421.21,,
643,a10,D,50.91,15472.12,,
644,a10,F2,3.33,15475.45,,
645,a10,FB,1.68,15477.13,,
646,a10,B,7.35,15484.48,,
647,a10,C,3.99,15488.47,,
648,a10,D,43.47,15531.94,,
649,a10,B,1.77,15533.71,,
650,a10,C,2.64,15536.35,,
651,a10,CG,130.26,15666.61,,
652,a10,G,41.22,15707.83,,
653,a10,F2,2.07,15709.9,,
654,a10,G,784.11,16494.01,,
655,a10,C,6.78,16500.79,,
656,a10,D,7.26,16508.05,,
657,a10,C,2.13,16510.18,,
658,a10,D,11.22,16521.4,,
659,a10,C,2.25,16523.65,,
660,a10,D,42.0,16565.65,,
661,a10,B,46.92,16612.57,,
662,a10,C,3.06,16615.63,,
663,a10,D,4.5,16620.13,,
664,a10,C,11.22,16631.35,,
665,a10,P,2.01,16633.36,,
666,a10,Z,1011.15,17644.51,,
667,a10,P,59.22,17703.73,,
668,a10,G,389.34,18093.07,,
669,a10,P,2179.83,20272.9,,
670,a10,Z,122.49,20395.39,,
671,a10,P,87.18,20482.57,,
672,a10,Z,129.57,20612.14,,
673,a10,P,29.07,20641.21,,
674,a10,B2,3.21,20644.42,,
675,a10,P,48.06,20692.48,,
676,a10,Z,22.62,20715.1,,
677,a10,P,47.28,20762.38,,
678,a10,Z,197.88,20960.26,,
679,a10,P,29.7,20989.96,,
680,a10,Z,65.22,21055.18,,
681,a10,P,48.96,21104.14,,
682,a10,B2,4.5,21108.64,,
683,a10,P,43.17,21151.81,,
684,a10,Z,94.8,21246.61,,
685,a10,P,74.49,21321.1,,
686,a10,Z,105.36,21426.46,,
687,a10,P,69.03,21495.49,,
688,a10,Z,62.4,21557.89,,
689,a10,P,139.17,21697.06,,
690,a10,Z,18.51,21715.57,,
691,a10,P,74.1,21789.67,,
692,a10,Z,4.98,21794.65,,
693,a10,P,19.8,21814.45,,
694,a10,C,20.85,21835.3,,
695,a10,D,25.35,21860.65,,
696,a10,B,2.01,21862.66,,
697,a10,FB,6.27,21868.93,,
698,a10,F2,4.65,21873.58,,
699,a10,B,3.93,21877.51,,
700,a10,C,1.77,21879.28,,
701,a10,D,12.24,21891.52,,
702,a10,C,2.61,21894.13,,
703,a10,D,13.14,21907.27,,
704,a10,C,3.3,21910.57,,
705,a10,D,26.97,21937.54,,
706,a10,C,3.51,21941.05,,
707,a10,D,16.11,21957.16,,
708,a10,F2,2.37,21959.53,,
709,a10,C,9.48,21969.01,,
710,a10,D,61.92,22030.93,,
711,a10,F2,3.0,22033.93,,
712,a10,C,7.41,22041.34,,
713,a10,D,77.52,22118.86,,
714,a10,C,22.26,22141.12,,
715,a10,D,5.64,22146.76,,
716,a10,C,4.29,22151.05,,
717,a10,D,93.3,22244.35,,
718,a10,F2,2.16,22246.51,,
719,a10,B,9.9,22256.41,,
720,a10,G,358.89,22615.3,,
721,a10,F2,1.59,22616.89,,
722,a10,G,360.69,22977.58,,
723,a10,C,0.99,22978.57,,
724,a10,CG,286.41,23264.98,,
725,a10,DG,47.88,23312.86,,
726,a10,C,2.55,23315.41,,
727,a10,F2,2.49,23317.9,,
728,a10,FB,6.63,23324.53,,
729,a10,G,198.57,23523.1,,
730,a10,CG,1092.99,24616.09,,
731,a10,F2,3.18,24619.27,,
732,a10,CG,5.52,24624.79,,
733,a10,Z,3969.65,28594.44,,
734,a10,P,33.39,28627.83,,
735,a10,Z,81.84,28709.67,,
736,a10,P,48.87,28758.54,,
737,a10,B2,4.08,28762.62,,
738,a10,P,30.57,28793.19,,
739,a10,Z,50.67,28843.86,,
740,a10,P,39.3,28883.16,,
741,a10,D,33.72,28916.88,,
742,a10,F2,5.97,28922.85,,
743,a10,B,9.96,28932.81,,
744,a10,C,1.35,28934.16,,
745,a10,D,6.42,28940.58,,
746,a10,B,2.52,28943.1,,
747,a10,C,2.34,28945.44,,
748,a10,D,14.43,28959.87,,
749,a10,C,2.97,28962.84,,
750,a10,D,7.17,28970.01,,
751,a10,B,1.95,28971.96,,
752,a10,D,25.62,28997.58,,
753,a10,F2,3.54,29001.12,,
754,a10,B,8.37,29009.49,,
755,a10,C,4.56,29014.05,,
756,a10,D,68.94,29082.99,,
757,a10,F2,2.82,29085.81,,
758,a10,CG,128.16,29213.97,,
759,a10,G,813.03,30027.0,,
760,a10,CG,240.72,30267.72,,
