2025-07-21 16:14:47.462597 14, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 8} 0.038206374663465686
2025-07-21 16:17:51.790686 15, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 32, 'max_depth': 64} 0.09058061764782536
2025-07-21 16:20:58.467544 16, {'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 64} 0.08870667557874562
2025-07-21 17:08:47.231946 0, {'chunk_seconds': 1, 'num_freqs': 2, 'num_estimators': 64, 'max_depth': 8} 0.03442340743448033
2025-07-21 17:12:14.801061 1, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 32} 0.08261124423576428
2025-07-21 17:15:41.367405 2, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.07835961778701397
2025-07-21 17:19:02.699946 3, {'chunk_seconds': 2, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 16} 0.06448664666740615
2025-07-21 17:22:30.443712 4, {'chunk_seconds': 3, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 16} 0.06908872514618611
2025-07-21 17:25:51.036677 5, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 64} 0.07185623127795457
2025-07-21 17:29:15.524642 6, {'chunk_seconds': 1, 'num_freqs': 4, 'num_estimators': 8, 'max_depth': 16} 0.053300801240692613
2025-07-21 17:32:35.845285 7, {'chunk_seconds': 1, 'num_freqs': 3, 'num_estimators': 8, 'max_depth': 128} 0.06476016106781418
2025-07-21 17:35:55.928816 8, {'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 128} 0.06349273774839409
2025-07-21 17:39:20.433404 9, {'chunk_seconds': 1, 'num_freqs': 3, 'num_estimators': 16, 'max_depth': 8} 0.049920815556282874
2025-07-21 17:42:40.741149 10, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 32, 'max_depth': 32} 0.07434370418863631
2025-07-21 17:46:02.497224 11, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 32} 0.07906165948654005
2025-07-21 17:49:22.155629 12, {'chunk_seconds': 2, 'num_freqs': 7, 'num_estimators': 16, 'max_depth': 32} 0.06962295800863959
2025-07-21 17:52:41.806885 13, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 16, 'max_depth': 32} 0.08189973567119085
2025-07-21 17:56:01.231468 14, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 32} 0.0825247155943702
2025-07-21 17:59:30.590574 15, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 128, 'max_depth': 64} 0.06793456206955675
2025-07-21 18:02:59.719819 16, {'chunk_seconds': 3, 'num_freqs': 1, 'num_estimators': 128, 'max_depth': 32} 0.066616610343292
2025-07-21 18:06:26.219251 17, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 32, 'max_depth': 32} 0.07762807170677362
2025-07-21 18:09:46.114184 18, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 32} 0.08940207508101657
2025-07-21 18:13:09.314564 19, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 8} 0.05371487026223417
2025-07-21 18:16:30.529506 20, {'chunk_seconds': 2, 'num_freqs': 5, 'num_estimators': 64, 'max_depth': 64} 0.06849383145618788
2025-07-21 18:19:55.782934 21, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 128, 'max_depth': 32} 0.07537628016604174
2025-07-21 18:23:25.840877 22, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 32} 0.07987048951345893
2025-07-21 18:26:49.250148 23, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 32} 0.08641235166663286
2025-07-21 18:30:12.558480 24, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 32} 0.0863437552200255
2025-07-21 18:33:35.679411 25, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 128} 0.07852370655481726
2025-07-21 18:36:58.505412 26, {'chunk_seconds': 2, 'num_freqs': 9, 'num_estimators': 64, 'max_depth': 32} 0.07552727565645657
2025-07-21 18:40:21.354759 27, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 32} 0.07655859570973804
2025-07-21 18:43:44.353363 28, {'chunk_seconds': 2, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 32} 0.07161588916527603
2025-07-21 18:47:07.154477 29, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 32, 'max_depth': 8} 0.06571504870587003
2025-07-21 18:50:26.149766 30, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 64, 'max_depth': 64} 0.07954192054848844
2025-07-21 18:53:48.870922 31, {'chunk_seconds': 3, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 32} 0.08246221934838567
2025-07-21 18:57:10.379284 32, {'chunk_seconds': 3, 'num_freqs': 7, 'num_estimators': 64, 'max_depth': 32} 0.08175773607284699
2025-07-21 19:00:33.919937 33, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 32} 0.06986819573046564
2025-07-21 19:03:56.735871 34, {'chunk_seconds': 2, 'num_freqs': 6, 'num_estimators': 64, 'max_depth': 16} 0.07263861780368988
2025-07-21 19:07:17.729897 35, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 64, 'max_depth': 32} 0.07702282472194373
2025-07-21 19:10:40.963464 36, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 32} 0.08778396425692667
2025-07-21 19:13:59.092230 37, {'chunk_seconds': 3, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 16} 0.07298723845574459
2025-07-21 19:17:16.887130 38, {'chunk_seconds': 3, 'num_freqs': 10, 'num_estimators': 8, 'max_depth': 128} 0.08148542341876172
2025-07-21 19:20:34.924545 39, {'chunk_seconds': 1, 'num_freqs': 9, 'num_estimators': 8, 'max_depth': 32} 0.07478842235261983
2025-07-21 19:23:52.931608 40, {'chunk_seconds': 3, 'num_freqs': 8, 'num_estimators': 8, 'max_depth': 32} 0.07888706263370673
2025-07-21 19:27:11.012355 41, {'chunk_seconds': 3, 'num_freqs': 4, 'num_estimators': 64, 'max_depth': 32} 0.07487503455503643
2025-07-22 01:09:54.489951 0, {'chunk_seconds': 1, 'num_freqs': 5, 'num_estimators': 128, 'max_depth': 16} 0.05992702994532398
