insectno,waveform,dur,tbf
a01,Z,3388.48,3388.48
a01,P,11.52,3400
a01,Z,14.72,3414.72
a01,P,17.28,3432
a01,B2,4.48,3436.48
a01,P,1.28,3437.76
a01,Z,7.68,3445.44
a01,P,17.28,3462.72
a01,B2,5.12,3467.84
a01,P,28.16,3496
a01,B2,5.12,3501.12
a01,P,2.56,3503.68
a01,Z,3822.08,7325.76
a01,P,19.84,7345.6
a01,B2,2.56,7348.16
a01,P,23.68,7371.84
a01,B2,5.12,7376.96
a01,P,36.48,7413.44
a01,B2,4.48,7417.92
a01,P,26.24,7444.16
a01,B2,3.84,7448
a01,P,30.08,7478.08
a01,Z,7.68,7485.76
a01,P,14.72,7500.48
a01,B2,3.84,7504.32
a01,P,16,7520.32
a01,C,2.56,7522.88
a01,D,33.92,7556.8
a01,C,0.64,7557.44
a01,F2,1.28,7558.72
a01,B,2.56,7561.28
a01,C,3.2,7564.48
a01,D,67.2,7631.68
a01,F2,3.84,7635.52
a01,B,1.28,7636.8
a01,C,1.28,7638.08
a01,D,72.32,7710.4
a01,F2,1.47,7711.87
a01,B,1.95,7713.82
a01,C,2.46,7716.28
a01,D,41.48,7757.76
a01,F2,1.92,7759.68
a01,B,1.28,7760.96
a01,C,0.64,7761.6
a01,D,186.24,7947.84
a01,C,0.64,7948.48
a01,F2,1.92,7950.4
a01,B,0.64,7951.04
a01,C,0.64,7951.68
a01,D,55.04,8006.72
a01,B,1.28,8008
a01,C,0.64,8008.64
a01,D,25.6,8034.24
a01,C,0.64,8034.88
a01,F2,1.28,8036.16
a01,B,0.64,8036.8
a01,C,0.64,8037.44
a01,D,145.92,8183.36
a01,C,0.64,8184
a01,F2,1.06,8185.06
a01,B,1.5,8186.56
a01,C,0.64,8187.2
a01,D,30.72,8217.92
a01,F2,1.28,8219.2
a01,C,1.28,8220.48
a01,D,111.36,8331.84
a01,F2,1.28,8333.12
a01,C,0.64,8333.76
a01,D,105.6,8439.36
a01,F2,1.06,8440.42
a01,B,1.41,8441.83
a01,C,0.73,8442.56
a01,D,76.16,8518.72
a01,F2,1.92,8520.64
a01,C,0.64,8521.28
a01,D,600.96,9122.24
a01,F2,1.28,9123.52
a01,B,5.76,9129.28
a01,C,0.64,9129.92
a01,D,337.92,9467.84
a01,C,0.32,9468.16
a01,F2,2.56,9470.72
a01,B,1.64,9472.36
a01,C,0.64,9473
a01,D,139.52,9612.52
a01,B,6.4,9618.92
a01,C,1.28,9620.2
a01,D,167.04,9787.24
a01,B,1.92,9789.16
a01,Z,19.2,9808.36
a01,P,12.48,9820.84
a01,C,1.28,9822.12
a01,D,46.4,9868.52
a01,C,0.64,9869.16
a01,F2,1.45,9870.61
a01,B,5.01,9875.62
a01,C,3.78,9879.4
a01,D,133.76,10013.16
a01,C,0.64,10013.8
a01,F2,2.56,10016.36
a01,B,0.64,10017
a01,C,1.28,10018.28
a01,D,639.36,10657.64
a01,F2,3.2,10660.84
a01,B,2.56,10663.4
a01,C,1.28,10664.68
a01,D,621.92,11286.6
a01,C,0.28,11286.88
a01,F2,3.2,11290.08
a01,B,2.56,11292.64
a01,C,1.92,11294.56
a01,D,237.12,11531.68
a01,Z,220.16,11751.84
a01,P,48.64,11800.48
a01,Z,660,12460.48
a01,P,1.28,12461.76
a01,B,25.6,12487.36
a01,B2,3.84,12491.2
a01,Z,12.8,12504
a01,P,18.56,12522.56
a01,C,0.64,12523.2
a01,D,50.56,12573.76
a01,F2,1.92,12575.68
a01,B,2.56,12578.24
a01,C,1.28,12579.52
a01,D,59.03,12638.55
a01,F1,0.991,12639.541
a01,F2,1.769,12641.31
a01,B,5.41,12646.72
a01,C,0.64,12647.36
a01,D,24.32,12671.68
a01,C,0.64,12672.32
a01,D,49.92,12722.24
a01,F2,2.56,12724.8
a01,B,1.92,12726.72
a01,C,0.64,12727.36
a01,D,85.76,12813.12
a01,B,3.2,12816.32
a01,D,153.92,12970.24
a01,F2,1.92,12972.16
a01,B,1.28,12973.44
a01,C,0.64,12974.08
a01,D,300.64,13274.72
a01,C,0.64,13275.36
a01,F2,1.92,13277.28
a01,B,4.48,13281.76
a01,C,0.64,13282.4
a01,D,321.44,13603.84
a01,F2,2.56,13606.4
a01,B,4.48,13610.88
a01,F1,0.66,13611.54
a01,D,208.62,13820.16
a01,F2,0.05,13820.21
a01,B,5.59,13825.8
a01,C,1.4,13827.2
a01,D,186.88,14014.08
a01,B,17.92,14032
a01,C,1.28,14033.28
a01,D,20.48,14053.76
a01,B,7.68,14061.44
a01,Z,306.72,14368.16
a01,P,3.2,14371.36
a01,Z,2.56,14373.92
a01,P,40.32,14414.24
a01,B2,2.56,14416.8
a01,B,106.24,14523.04
a01,G,410.88,14933.92
a01,B,8.96,14942.88
a01,Z,40.32,14983.2
a01,P,37.1,15020.3
a01,G,63.36,15083.66
a01,D,579.52,15663.18
a01,B,1.5,15664.68
a01,Z,120,15784.68
a01,P,23.68,15808.36
a01,B2,3.2,15811.56
a01,B,39.68,15851.24
a01,D,7.68,15858.92
a01,G,200.32,16059.24
a01,Z,1.28,16060.52
a01,P,21.76,16082.28
a01,Z,6398.08,22480.36
a01,P,54.4,22534.76
a01,Z,7.68,22542.44
a01,P,21.12,22563.56
a01,B2,1.92,22565.48
a01,B,108.8,22674.28
a01,Z,62.08,22736.36
a01,P,21.76,22758.12
a01,B2,3.84,22761.96
a01,B,12.8,22774.76
a01,Z,29.44,22804.2
a01,P,21.76,22825.96
a01,B2,4.48,22830.44
a01,B,124.16,22954.6
a01,B2,3.84,22958.44
a01,B,41.6,23000.04
a01,B2,1.92,23001.96
a01,B,16,23017.96
a01,C,2.56,23020.52
a01,F2,1.28,23021.8
a01,B,3.2,23025
a01,C,1.92,23026.92
a01,D,3.84,23030.76
a01,C,1.28,23032.04
a01,D,32.68,23064.72
a01,F1,0.48,23065.2
a01,F2,2.85,23068.05
a01,B,1.75,23069.8
a01,C,3.84,23073.64
a01,D,18.56,23092.2
a01,C,1.92,23094.12
a01,F2,3.2,23097.32
a01,B,5.12,23102.44
a01,B,1.28,23103.72
a01,B,2.56,23106.28
a01,D,10.88,23117.16
a01,C,1.28,23118.44
a01,B,147.2,23265.64
a01,G,353.92,23619.56
a01,B,346.24,23965.8
a01,Z,19.84,23985.64
a01,P,61.44,24047.08
a01,Z,87.04,24134.12
a01,P,1.92,24136.04
a01,B,56.32,24192.36
a01,Z,133.12,24325.48
a01,P,265.6,24591.08
a01,Z,14.72,24605.8
a01,P,23.68,24629.48
a01,Z,15.36,24644.84
a01,P,79.36,24724.2
a01,Z,5.76,24729.96
a01,P,48.64,24778.6
a01,Z,4.48,24783.08
a01,P,0.64,24783.72
a01,B,284.16,25067.88
a01,Z,122.88,25190.76
a01,P,60.5,25251.26
a01,Z,10706.56,35957.82
a02,Z,21433.6,21433.6
a02,P,14.72,21448.32
a02,Z,115.2,21563.52
a02,P,21.76,21585.28
a02,B2,2.56,21587.84
a02,B,68.48,21656.32
a02,Z,42.24,21698.56
a02,P,5.76,21704.32
a02,Z,30.08,21734.4
a02,P,9.6,21744
a02,Z,5.12,21749.12
a02,P,20.48,21769.6
a02,Z,78.44,21848.04
a02,P,12.16,21860.2
a02,B2,3.84,21864.04
a02,B,21.76,21885.8
a02,B2,4.48,21890.28
a02,B,7.68,21897.96
a02,C,1.92,21899.88
a02,D,39.68,21939.56
a02,C,1.28,21940.84
a02,F2,5.12,21945.96
a02,B,3.2,21949.16
a02,C,1.92,21951.08
a02,D,42.88,21993.96
a02,C,0.64,21994.6
a02,F2,4.48,21999.08
a02,C,1.92,22001
a02,D,93.37,22094.37
a02,F1,4.17,22098.54
a02,F2,1.44,22099.98
a02,F3,5.98,22105.96
a02,F4,3.2,22109.16
a02,B,7.04,22116.2
a02,C,3.2,22119.4
a02,B,1.92,22121.32
a02,C,2.56,22123.88
a02,D,17.28,22141.16
a02,C,0.64,22141.8
a02,F2,1.92,22143.72
a02,B,10.88,22154.6
a02,B,11.41,22166.01
a02,C,0.57,22166.58
a02,B,4.05,22170.63
a02,D,169.57,22340.2
a02,C,1.28,22341.48
a02,F2,3.63,22345.11
a02,B,3.41,22348.52
a02,C,3.2,22351.72
a02,D,467.84,22819.56
a02,F2,5.07,22824.63
a02,B,2.61,22827.24
a02,C,0.64,22827.88
a02,D,375.04,23202.92
a02,C,0.64,23203.56
a02,F2,3.84,23207.4
a02,B,6.4,23213.8
a02,C,3.84,23217.64
a02,D,455.68,23673.32
a02,C,0.64,23673.96
a02,F2,6.4,23680.36
a02,B,0.64,23681
a02,F1,1.28,23682.28
a02,D,702.08,24384.36
a02,C,0.64,24385
a02,F2,3.84,24388.84
a02,B,1.28,24390.12
a02,C,1.28,24391.4
a02,D,1182.08,25573.48
a02,C,0.64,25574.12
a02,F2,3.58,25577.7
a02,B,2.1,25579.8
a02,C,1.36,25581.16
a02,D,842.24,26423.4
a02,F2,3.36,26426.76
a02,B,3.04,26429.8
a02,C,1.28,26431.08
a02,D,844.8,27275.88
a02,C,0.64,27276.52
a02,F2,5.09,27281.61
a02,B,1.29,27282.9
a02,C,1.3,27284.2
a02,D,741.76,28025.96
a02,C,0.64,28026.6
a02,B,1.92,28028.52
a02,F2,5.12,28033.64
a02,B,1.28,28034.92
a02,C,2.56,28037.48
a02,D,799.36,28836.84
a02,C,0.64,28837.48
a02,F2,5.12,28842.6
a02,B,17.34,28859.94
a02,C,1.02,28860.96
a02,D,608.84,29469.8
a02,F2,4.06,29473.86
a02,B,2.28,29476.14
a02,C,1.98,29478.12
a02,D,792.32,30270.44
a02,F2,3.84,30274.28
a02,B,4.9,30279.18
a02,C,2.14,30281.32
a02,D,810.88,31092.2
a02,C,0.64,31092.84
a02,F2,5.12,31097.96
a02,B,0.22,31098.18
a02,C,2.98,31101.16
a02,D,1116.16,32217.32
a02,C,0.64,32217.96
a02,F2,4.48,32222.44
a02,B,1130.59,33353.03
a02,C,1.08,33354.11
a02,D,1330.41,34684.52
a02,F2,5.12,34689.64
a02,B,6.55,34696.19
a02,C,1.13,34697.32
a02,D,1267.84,35965.16
a02,F2,6.06,35971.22
a02,B,5.4,35976.62
a02,C,3.9,35980.52
a02,D,586.24,36566.76
a02,C,5.7,36572.46
a02,F2,6.96,36579.42
a02,B,3.84,36583.26
a02,C,8.94,36592.2
a02,D,425.76,37017.96
a02,F2,11.4,37029.36
a02,B,15.6,37044.96
a02,C,2.1,37047.06
a02,B,1.05,37048.11
a02,C,3.69,37051.8
a02,D,957,38008.8
a03,Z,10698.5,10698.5
a03,P,23.68,10722.18
a03,Z,10851.52,21573.7
a03,P,23.04,21596.74
a03,Z,9024.76,30621.5
a03,P,35.84,30657.34
a03,B2,3.84,30661.18
a03,B,23.04,30684.22
a03,B2,5.76,30689.98
a03,B,26.24,30716.22
a03,Z,12.16,30728.38
a03,P,1.92,30730.3
a03,B,43.52,30773.82
a03,B2,3.2,30777.02
a03,B,2.56,30779.58
a03,Z,64,30843.58
a03,P,1.92,30845.5
a03,B,16.76,30862.26
a03,G,62.31,30924.57
a03,Z,13.65,30938.22
a03,B,19.38,30957.6
a03,C,2.46,30960.06
a03,D,27.52,30987.58
a03,F2,5.76,30993.34
a03,B,2.48,30995.82
a03,C,6.18,31002
a03,D,64.3,31066.3
a03,F2,2.56,31068.86
a03,B,1.92,31070.78
a03,C,1.92,31072.7
a03,D,89.53,31162.23
a03,F2,0.07,31162.3
a03,B,3.84,31166.14
a03,C,5.39,31171.53
a03,D,90.03,31261.56
a03,C,6.2,31267.76
a03,D,28.77,31296.53
a03,C,3.15,31299.68
a03,D,25.8,31325.48
a03,F2,4.77,31330.25
a03,B,2.79,31333.04
a03,C,5.43,31338.47
a03,D,6.72,31345.19
a03,B,1.38,31346.57
a03,D,138.12,31484.69
a03,F2,3.18,31487.87
a03,B,2.37,31490.24
a03,C,1.71,31491.95
a03,D,36.48,31528.43
a03,C,2.31,31530.74
a03,D,189.18,31719.92
a03,F2,3.51,31723.43
a03,B,5.34,31728.77
a03,C,2.61,31731.38
a03,D,15.09,31746.47
a03,C,2.16,31748.63
a03,D,578.64,32327.27
a03,F2,3.03,32330.3
a03,B,4.89,32335.19
a03,C,2.25,32337.44
a03,D,5.13,32342.57
a03,C,3,32345.57
a03,D,23.64,32369.21
a03,C,2.91,32372.12
a03,D,872.91,33245.03
a03,C,0.93,33245.96
a03,F2,2.22,33248.18
a03,B,6.3,33254.48
a03,C,1.2,33255.68
a03,D,627.72,33883.4
a03,F2,2.82,33886.22
a03,B,7.35,33893.57
a03,C,1.35,33894.92
a03,D,12.48,33907.4
a03,C,1.5,33908.9
a03,D,593.85,34502.75
a03,F2,4.29,34507.04
a03,B,9.9,34516.94
a03,C,1.98,34518.92
a03,D,15.36,34534.28
a03,C,3.39,34537.67
a03,D,676.14,35213.81
a03,F2,2.55,35216.36
a03,B,10.17,35226.53
a03,C,2.31,35228.84
a03,D,8.79,35237.63
a03,C,2.13,35239.76
a03,D,717.06,35956.82
a03,F2,3.54,35960.36
a03,B,5.19,35965.55
a03,C,2.37,35967.92
a03,B,1.47,35969.39
a03,C,2.16,35971.55
a03,D,1362.36,37333.91
a03,F2,2.31,37336.22
a03,B,6.09,37342.31
a03,C,5.46,37347.77
a03,D,661.62,38009.39
a03,F2,1.47,38010.86
a03,B,8.16,38019.02
a03,C,2.01,38021.03
a03,B,0.96,38021.99
a03,C,1.17,38023.16
a03,D,7.35,38030.51
a03,B,1.2,38031.71
a03,C,2.04,38033.75
a03,D,460.98,38494.73
a03,F2,2.55,38497.28
a03,B,12.3,38509.58
a03,C,1.47,38511.05
a03,D,489.54,39000.59
a03,G,522.75,39523.34
a04,Z,1912.87,1912.87
a04,P,40.89,1953.76
a04,B2,3.93,1957.69
a04,P,57.51,2015.2
a04,C,0.3,2015.5
a04,D,5.91,2021.41
a04,C,47.25,2068.66
a04,F2,2.97,2071.63
a04,D,181.59,2253.22
a04,C,7.11,2260.33
a04,D,2108.19,4368.52
a04,F2,2.97,4371.49
a04,B,34.83,4406.32
a04,C,6.66,4412.98
a04,D,152.55,4565.53
a04,G,282.9,4848.43
a04,D,4.44,4852.87
a04,G,392.79,5245.66
a04,DG,533.7,5779.36
a04,F2,2.31,5781.67
a04,G,24.24,5805.91
a04,Z,9767.58,15573.49
a04,P,274.5,15847.99
a04,G,52.86,15900.85
a04,P,55.77,15956.62
a04,Z,1412.28,17368.9
a04,P,114.66,17483.56
a04,G,18.99,17502.55
a04,P,13.86,17516.41
a04,Z,18484.47,36000.88
a05,Z,36000.88,36000.88
a06,Z,36000.06,36000.06
a07,Z,14456.25,14456.25
a07,P,248.52,14704.77
a07,Z,19853.07,34557.84
a07,P,55.32,34613.16
a07,Z,1386.84,36000
a09,Z,413.79,413.79
a09,P,45.81,459.6
a09,DG,489.48,949.08
a09,G,1414.44,2363.52
a09,P,8.07,2371.59
a09,Z,1436.22,3807.81
a09,G,20.58,3828.39
a09,Z,7209,11037.39
a09,G,137.67,11175.06
a09,Z,1848.84,13023.9
a09,G,38.46,13062.36
a09,Z,22937.7,36000.06
a10,Z,288.52,288.52
a10,P,25.59,314.11
a10,Z,829.83,1143.94
a10,P,331.53,1475.47
a10,Z,672.96,2148.43
a10,P,24.45,2172.88
a10,Z,76.38,2249.26
a10,P,13.98,2263.24
a10,C,11.94,2275.18
a10,D,5.79,2280.97
a10,C,4.92,2285.89
a10,D,29.94,2315.83
a10,F2,4.26,2320.09
a10,B,2.58,2322.67
a10,D,41.31,2363.98
a10,B,3.87,2367.85
a10,D,38.58,2406.43
a10,F2,2.55,2408.98
a10,B,4.59,2413.57
a10,C,0.75,2414.32
a10,D,119.88,2534.2
a10,C,1.44,2535.64
a10,DG,100.92,2636.56
a10,C,1.59,2638.15
a10,DG,143.91,2782.06
a10,F2,3.09,2785.15
a10,B,10.92,2796.07
a10,D,42.03,2838.1
a10,C,2.34,2840.44
a10,D,40.26,2880.7
a10,C,1.8,2882.5
a10,D,45.81,2928.31
a10,C,2.01,2930.32
a10,D,58.5,2988.82
a10,F2,1.95,2990.77
a10,C,2.64,2993.41
a10,D,71.01,3064.42
a10,Z,2022.36,5086.78
a10,P,34.14,5120.92
a10,C,1.56,5122.48
a10,F2,3.09,5125.57
a10,B,4.74,5130.31
a10,C,10.02,5140.33
a10,D,5.49,5145.82
a10,C,2.97,5148.79
a10,D,46.56,5195.35
a10,F2,3.39,5198.74
a10,B,2.1,5200.84
a10,C,3.72,5204.56
a10,D,82.59,5287.15
a10,F2,2.28,5289.43
a10,B,6.06,5295.49
a10,C,1.41,5296.9
a10,G,428.43,5725.33
a10,C,1.86,5727.19
a10,G,227.46,5954.65
a10,C,1.74,5956.39
a10,D,172.62,6129.01
a10,F2,2.49,6131.5
a10,B,4.44,6135.94
a10,C,11.55,6147.49
a10,D,3.18,6150.67
a10,B,1.05,6151.72
a10,C,1.2,6152.92
a10,D,302.16,6455.08
a10,P,3.12,6458.2
a10,Z,4703.19,11161.39
a10,P,57.93,11219.32
a10,D,6.63,11225.95
a10,C,59.16,11285.11
a10,F2,4.8,11289.91
a10,B,16.14,11306.05
a10,C,122.19,11428.24
a10,F2,2.13,11430.37
a10,B,26.7,11457.07
a10,G,356.25,11813.32
a10,CG,162.48,11975.8
a10,F2,1.74,11977.54
a10,B,17.04,11994.58
a10,CG,390.45,12385.03
a10,Z,2315.13,14700.16
a10,P,151.2,14851.36
a10,B2,3.09,14854.45
a10,P,26.25,14880.7
a10,Z,60.12,14940.82
a10,P,42.87,14983.69
a10,B2,3.12,14986.81
a10,P,20.49,15007.3
a10,B2,4.95,15012.25
a10,P,25.2,15037.45
a10,B2,6.69,15044.14
a10,P,18.21,15062.35
a10,B2,4.47,15066.82
a10,P,94.68,15161.5
a10,Z,97.2,15258.7
a10,P,25.98,15284.68
a10,B2,2.52,15287.2
a10,P,18.84,15306.04
a10,B2,4.59,15310.63
a10,P,16.23,15326.86
a10,C,8.19,15335.05
a10,D,5.01,15340.06
a10,F1,2.61,15342.67
a10,B,3.99,15346.66
a10,B,13.53,15360.19
a10,C,6.69,15366.88
a10,D,41.85,15408.73
a10,F2,1.62,15410.35
a10,B,2.13,15412.48
a10,B,1.62,15414.1
a10,C,7.11,15421.21
a10,D,50.91,15472.12
a10,F2,3.33,15475.45
a10,B,1.68,15477.13
a10,B,7.35,15484.48
a10,C,3.99,15488.47
a10,D,43.47,15531.94
a10,B,1.77,15533.71
a10,C,2.64,15536.35
a10,CG,130.26,15666.61
a10,G,41.22,15707.83
a10,F2,2.07,15709.9
a10,G,784.11,16494.01
a10,C,6.78,16500.79
a10,D,7.26,16508.05
a10,C,2.13,16510.18
a10,D,11.22,16521.4
a10,C,2.25,16523.65
a10,D,42,16565.65
a10,B,46.92,16612.57
a10,C,3.06,16615.63
a10,D,4.5,16620.13
a10,C,11.22,16631.35
a10,P,2.01,16633.36
a10,Z,1011.15,17644.51
a10,P,59.22,17703.73
a10,G,389.34,18093.07
a10,P,2179.83,20272.9
a10,Z,122.49,20395.39
a10,P,87.18,20482.57
a10,Z,129.57,20612.14
a10,P,29.07,20641.21
a10,B2,3.21,20644.42
a10,P,48.06,20692.48
a10,Z,22.62,20715.1
a10,P,47.28,20762.38
a10,Z,197.88,20960.26
a10,P,29.7,20989.96
a10,Z,65.22,21055.18
a10,P,48.96,21104.14
a10,B2,4.5,21108.64
a10,P,43.17,21151.81
a10,Z,94.8,21246.61
a10,P,74.49,21321.1
a10,Z,105.36,21426.46
a10,P,69.03,21495.49
a10,Z,62.4,21557.89
a10,P,139.17,21697.06
a10,Z,18.51,21715.57
a10,P,74.1,21789.67
a10,Z,4.98,21794.65
a10,P,19.8,21814.45
a10,C,20.85,21835.3
a10,D,25.35,21860.65
a10,B,2.01,21862.66
a10,B,6.27,21868.93
a10,F2,4.65,21873.58
a10,B,3.93,21877.51
a10,C,1.77,21879.28
a10,D,12.24,21891.52
a10,C,2.61,21894.13
a10,D,13.14,21907.27
a10,C,3.3,21910.57
a10,D,26.97,21937.54
a10,C,3.51,21941.05
a10,D,16.11,21957.16
a10,F2,2.37,21959.53
a10,C,9.48,21969.01
a10,D,61.92,22030.93
a10,F2,3,22033.93
a10,C,7.41,22041.34
a10,D,77.52,22118.86
a10,C,22.26,22141.12
a10,D,5.64,22146.76
a10,C,4.29,22151.05
a10,D,93.3,22244.35
a10,F2,2.16,22246.51
a10,B,9.9,22256.41
a10,G,358.89,22615.3
a10,F2,1.59,22616.89
a10,G,360.69,22977.58
a10,C,0.99,22978.57
a10,CG,286.41,23264.98
a10,DG,47.88,23312.86
a10,C,2.55,23315.41
a10,F2,2.49,23317.9
a10,B,6.63,23324.53
a10,G,198.57,23523.1
a10,CG,1092.99,24616.09
a10,F2,3.18,24619.27
a10,CG,5.52,24624.79
a10,Z,3969.65,28594.44
a10,P,33.39,28627.83
a10,Z,81.84,28709.67
a10,P,48.87,28758.54
a10,B2,4.08,28762.62
a10,P,30.57,28793.19
a10,Z,50.67,28843.86
a10,P,39.3,28883.16
a10,D,33.72,28916.88
a10,F2,5.97,28922.85
a10,B,9.96,28932.81
a10,C,1.35,28934.16
a10,D,6.42,28940.58
a10,B,2.52,28943.1
a10,C,2.34,28945.44
a10,D,14.43,28959.87
a10,C,2.97,28962.84
a10,D,7.17,28970.01
a10,B,1.95,28971.96
a10,D,25.62,28997.58
a10,F2,3.54,29001.12
a10,B,8.37,29009.49
a10,C,4.56,29014.05
a10,D,68.94,29082.99
a10,F2,2.82,29085.81
a10,CG,128.16,29213.97
a10,G,813.03,30027
a10,CG,240.72,30267.72
a10,F2,2.25,30269.97
a10,D,837.81,31107.78
a10,F2,5.01,31112.79
a10,B,2.73,31115.52
a10,C,7.11,31122.63
a10,D,257.25,31379.88
a10,C,2.61,31382.49
a10,D,976.62,32359.11
a10,C,6.12,32365.23
a10,F2,5.04,32370.27
a10,B,8.7,32378.97
a10,DG,45.39,32424.36
a10,CG,3.36,32427.72
a10,DG,21.66,32449.38
a10,CG,2.73,32452.11
a10,DG,79.59,32531.7
a10,CG,5.46,32537.16
a10,DG,183.12,32720.28
a10,G,2265,34985.28
a10,Z,1021.08,36006.36
a82,Z,33490.11,33490.11
a82,P,244.89,33735
a82,Z,2265,36000
a88,Z,9980.4,9980.4
a88,P,33.66,10014.06
a88,Z,3.72,10017.78
a88,P,17.07,10034.85
a88,B2,1.92,10036.77
a88,P,20.58,10057.35
a88,B2,6.25,10063.6
a88,P,5.16,10068.76
a88,B2,6.36,10075.12
a88,P,47.43,10122.55
a88,Z,6.54,10129.09
a88,P,13.56,10142.65
a88,B2,5.34,10147.99
a88,P,39.42,10187.41
a88,B2,4.68,10192.09
a88,P,92.55,10284.64
a88,C,31.29,10315.93
a88,CG,245.76,10561.69
a88,F2,6.57,10568.26
a88,B,15.57,10583.83
a88,DG,530.52,11114.35
a88,CG,922.89,12037.24
a88,G,149.97,12187.21
a88,B,1.08,12188.29
a88,F2,6.12,12194.41
a88,B,6.96,12201.37
a88,CG,155.82,12357.19
a88,G,23642.91,36000.1
b01,Z,273.9,273.9
b01,P,18.56,292.46
b01,B2,2.56,295.02
b01,P,77.28,372.3
b01,Z,103.04,475.34
b01,P,17.28,492.62
b01,B2,1.92,494.54
b01,B,25.6,520.14
b01,B2,1.92,522.06
b01,B,23.68,545.74
b01,B2,3.2,548.94
b01,B,17.92,566.86
b01,C,1.28,568.14
b01,B,1.28,569.42
b01,C,0.64,570.06
b01,B,4.48,574.54
b01,B,1.28,575.82
b01,C,4,579.82
b01,D,24.96,604.78
b01,C,0.64,605.42
b01,F2,1.92,607.34
b01,B,4.48,611.82
b01,C,0.64,612.46
b01,B,3.2,615.66
b01,C,3.2,618.86
b01,D,67.84,686.7
b01,C,0.64,687.34
b01,F2,1.92,689.26
b01,B,1.28,690.54
b01,C,1.28,691.82
b01,D,224,915.82
b01,C,0.64,916.46
b01,D,310.4,1226.86
b01,C,0.64,1227.5
b01,D,10.24,1237.74
b01,C,0.64,1238.38
b01,D,16.64,1255.02
b01,C,0.64,1255.66
b01,D,18.69,1274.35
b01,B,3.51,1277.86
b01,B,2.12,1279.98
b01,B,3.84,1283.82
b01,C,0.64,1284.46
b01,D,49.92,1334.38
b01,C,0.64,1335.02
b01,D,475.52,1810.54
b01,C,0.64,1811.18
b01,B,6.4,1817.58
b01,Z,27.52,1845.1
b01,P,8.32,1853.42
b01,C,1.28,1854.7
b01,D,154.88,2009.58
b01,B,1.92,2011.5
b01,B,1.92,2013.42
b01,C,1.92,2015.34
b01,D,29.44,2044.78
b01,B,7.04,2051.82
b01,Z,653.12,2704.94
b01,P,7.04,2711.98
b01,C,3.2,2715.18
b01,D,170.88,2886.06
b01,F2,3.2,2889.26
b01,B,1.92,2891.18
b01,C,1.28,2892.46
b01,D,200.49,3092.95
b01,G,674.19,3767.14
b01,D,18.06,3785.2
b01,Z,520.38,4305.58
b01,P,24.96,4330.54
b01,Z,28.8,4359.34
b01,P,8.32,4367.66
b01,C,0.64,4368.3
b01,D,80,4448.3
b01,B,5.12,4453.42
b01,C,1.28,4454.7
b01,D,274.84,4729.54
b01,C,1.6,4731.14
b01,D,142.4,4873.54
b01,G,294.4,5167.94
b01,C,1.6,5169.54
b01,D,50.55,5220.09
b01,G,889.77,6109.86
b01,D,56.94,6166.8
b01,G,493.12,6659.92
b01,D,85.76,6745.68
b01,G,88.64,6834.32
b01,Z,64,6898.32
b01,G,224,7122.32
b01,Z,35.2,7157.52
b01,P,27.2,7184.72
b01,B2,2.56,7187.28
b01,B,31.36,7218.64
b01,C,3.2,7221.84
b01,D,21.12,7242.96
b01,C,1.92,7244.88
b01,D,72.96,7317.84
b01,F1,2.56,7320.4
b01,B,2.56,7322.96
b01,C,1.28,7324.24
b01,D,1.92,7326.16
b01,C,1.28,7327.44
b01,F4,5.12,7332.56
b01,B,3.84,7336.4
b01,C,1.28,7337.68
b01,D,163.84,7501.52
b01,C,0.64,7502.16
b01,F2,1.92,7504.08
b01,B,1.92,7506
b01,C,1.28,7507.28
b01,D,3.2,7510.48
b01,F4,3.84,7514.32
b01,B,1.28,7515.6
b01,C,0.64,7516.24
b01,D,146.56,7662.8
b01,F1,0.54,7663.34
b01,F2,3,7666.34
b01,F3,6.39,7672.73
b01,F4,4.65,7677.38
b01,B,8.83,7686.21
b01,D,453.76,8139.97
b01,F1,2.8,8142.77
b01,B,1.68,8144.45
b01,B,5.12,8149.57
b01,C,1.28,8150.85
b01,D,12.16,8163.01
b01,C,1.28,8164.29
b01,D,312.32,8476.61
b01,C,2.01,8478.62
b01,F1,2.52,8481.14
b01,F2,1.5,8482.64
b01,F3,5.88,8488.52
b01,F4,3.54,8492.06
b01,B,2.65,8494.71
b01,C,0.64,8495.35
b01,D,469.76,8965.11
b01,F2,3.84,8968.95
b01,B,1.92,8970.87
b01,C,1.92,8972.79
b01,D,296.96,9269.75
b01,F1,3.84,9273.59
b01,B,1.28,9274.87
b01,C,1.92,9276.79
b01,B,2.56,9279.35
b01,C,1.28,9280.63
b01,D,345.6,9626.23
b01,F2,1.92,9628.15
b01,F3,4.48,9632.63
b01,F4,3.84,9636.47
b01,B,2.56,9639.03
b01,D,216.32,9855.35
b01,F2,2.31,9857.66
b01,B,0.89,9858.55
b01,C,1.92,9860.47
b01,B,1.92,9862.39
b01,C,1.28,9863.67
b01,D,148.48,10012.15
b01,F2,3.2,10015.35
b01,C,0.64,10015.99
b01,D,124.16,10140.15
b01,B,1.92,10142.07
b01,Z,435.2,10577.27
b01,P,14.72,10591.99
b01,C,0.64,10592.63
b01,B,1352.36,11944.99
b01,Z,24602.24,36547.23
b02,Z,14.73,14.73
b02,G,92.91,107.64
b02,Z,1282.65,1390.29
b02,G,533.23,1923.52
b02,Z,10.38,1933.9
b02,G,16.83,1950.73
